PLAYER,TEAM,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,CLAUSE,EXPIRY,CAP HIT,SALARY
232. Jamie Oleksiak,SEA,30,LD/RD,Left,82,2,13,15,0.18,-2,108,0.02,19:38,-,-,-,-,-,NTC,UFA,"$4,600,000","$6,000,000"
233. Jakob Chychrun,OTT,25,LD/RD,Left,82,14,27,41,0.50,-30,204,0.07,22:23,-,-,-,-,-,M-NTC,UFA,"$4,600,000","$5,400,000"
234. Artem Zub,OTT,27,RD,Right,69,5,20,25,0.36,5,85,0.06,21:01,-,-,-,-,-,M-NTC,UFA,"$4,600,000","$4,000,000"
235. Rasmus Andersson,CGY,26,RD,Right,78,9,30,39,0.50,-11,159,0.06,23:49,-,-,-,-,-,,UFA,"$4,550,000","$4,550,000"
236. Brandon Saad,STL,30,"LW, RW",Left,82,26,16,42,0.51,-4,144,0.18,15:30,-,-,-,-,-,NTC,UFA,"$4,500,000","$5,500,000"
237. Artturi Lehkonen,COL,27,"LW, RW",Left,45,16,18,34,0.76,11,103,0.16,18:28,-,-,-,-,-,NTC,UFA,"$4,500,000","$5,000,000"
238. Alexander Wennberg,NYR,28,C,Left,79,10,20,30,0.38,0,90,0.11,17:59,-,-,-,-,-,M-NTC,UFA,"$4,500,000","$5,000,000"
239. Ryan Graves,PIT,28,LD,Left,70,3,11,14,0.20,10,77,0.04,18:23,-,-,-,-,-,M-NTC,UFA,"$4,500,000","$5,750,000"
240. Mason Marchment,DAL,28,"LW, RW",Left,81,22,31,53,0.65,22,150,0.15,15:03,-,-,-,-,-,M-NTC,UFA,"$4,500,000","$4,800,000"
241. Christopher Tanev,DAL,33,RD,Right,75,2,17,19,0.25,22,56,0.04,19:41,-,-,-,-,-,M-NTC,UFA,"$4,500,000","$4,500,000"
242. Michael Bunting,PIT,27,LW,Left,81,19,36,55,0.68,-19,168,0.11,15:40,-,-,-,-,-,M-NTC,UFA,"$4,500,000","$4,500,000"
243. Nikita Zaitsev,CHI,31,RD,Right,38,2,5,7,0.18,-5,31,0.06,15:55,-,-,-,-,-,M-NTC,UFA,"$4,500,000","$4,500,000"
244. Josh Manson,COL,31,RD,Right,76,8,17,25,0.33,11,123,0.07,17:46,-,-,-,-,-,NTC,UFA,"$4,500,000","$5,000,000"
245. Ryan O'Reilly,NSH,32,C,Left,82,26,43,69,0.84,6,180,0.14,19:45,-,-,-,-,-,,UFA,"$4,500,000","$5,000,000"
246. Mike Hoffman,SJS,33,LW,Left,66,10,13,23,0.35,-21,71,0.14,13:43,-,-,-,-,-,,UFA,"$4,500,000","$5,000,000"
247. Spencer Knight,FLA,22,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$4,500,000","$4,500,000"
248. Tyson Barrie,NSH,31,RD,Right,41,1,14,15,0.37,-10,65,0.02,18:19,-,-,-,-,-,,UFA,"$4,500,000","$5,000,000"
249. Christian Dvorak,MTL,27,C,Left,30,5,4,9,0.30,-5,35,0.14,15:31,-,-,-,-,-,M-NTC,UFA,"$4,450,000","$5,725,000"
250. Filip Chytil,NYR,23,"C, LW",Left,10,0,6,6,0.60,0,22,0.00,15:55,-,-,-,-,-,,UFA,"$4,437,500","$4,500,000"
251. Sam Bennett,FLA,27,C,Left,69,20,21,41,0.59,17,171,0.12,16:36,-,-,-,-,-,,UFA,"$4,425,000","$6,350,000"
252. Connor Murphy,CHI,30,RD,Right,46,2,6,8,0.17,-19,51,0.04,19:49,-,-,-,-,-,M-NTC,UFA,"$4,400,000","$5,800,000"
253. John Marino,NJD,26,RD,Right,75,4,21,25,0.33,-6,57,0.07,20:57,-,-,-,-,-,,UFA,"$4,400,000","$5,250,000"
254. Filip Hronek,VAN,25,RD,Right,81,5,43,48,0.59,33,148,0.03,23:26,-,-,-,-,-,,RFA,"$4,400,000","$5,500,000"
255. Lawson Crouse,UTA,26,"LW, RW",Left,81,23,19,42,0.52,-7,171,0.13,16:49,-,-,-,-,-,,UFA,"$4,300,000","$4,600,000"
256. Mattias Samuelsson,BUF,23,LD,Left,41,1,6,7,0.17,4,44,0.02,20:30,-,-,-,-,-,,UFA,"$4,285,714","$4,285,716"
257. Andreas Athanasiou,CHI,28,"LW, RW",Left,28,2,7,9,0.32,-7,44,0.05,13:05,-,-,-,-,-,,UFA,"$4,250,000","$4,250,000"
258. Tyler Toffoli,WPG,31,"RW, LW",Right,79,33,22,55,0.70,-6,229,0.14,16:57,-,-,-,-,-,,UFA,"$4,250,000","$3,500,000"
259. Viktor Arvidsson,LAK,30,"RW, LW",Right,18,6,9,15,0.83,4,59,0.10,16:41,-,-,-,-,-,,UFA,"$4,250,000","$4,250,000"
260. Trevor Moore,LAK,28,"LW, RW",Left,82,31,26,57,0.70,11,244,0.13,17:58,-,-,-,-,-,M-NTC,UFA,"$4,200,000","$4,500,000"
261. Carter Verhaeghe,FLA,27,LW,Left,76,34,38,72,0.95,17,246,0.14,17:57,-,-,-,-,-,,UFA,"$4,166,667","$5,000,000"
262. Anthony Beauvillier,NSH,26,"RW, LW",Left,60,5,12,17,0.28,-8,105,0.05,13:34,-,-,-,-,-,,UFA,"$4,150,000","$4,150,000"
263. John Klingberg,TOR,30,RD,Right,14,0,5,5,0.36,-7,14,0.00,20:33,-,-,-,-,-,M-NTC,UFA,"$4,150,000","$4,150,000"
264. Shayne Gostisbehere,DET,30,LD/RD,Left,81,10,46,56,0.69,-16,139,0.07,19:05,-,-,-,-,-,M-NTC,UFA,"$4,125,000","$4,125,000"
265. Michael Anderson,LAK,24,LD,Left,74,2,16,18,0.24,22,89,0.02,20:37,-,-,-,-,-,,UFA,"$4,125,000","$3,600,000"
266. Devon Toews,COL,29,LD,Left,82,12,38,50,0.61,28,159,0.08,23:25,-,-,-,-,-,,UFA,"$4,100,000","$5,900,000"
267. Brandon Carlo,BOS,26,RD,Right,76,4,10,14,0.18,23,79,0.05,19:54,-,-,-,-,-,M-NTC,UFA,"$4,100,000","$5,700,000"
268. Nick Jensen,WSH,32,RD,Right,78,1,13,14,0.18,-9,71,0.01,19:37,-,-,-,-,-,,UFA,"$4,050,000","$5,000,000"
269. Marcus Pettersson,PIT,27,LD,Left,82,4,26,30,0.37,28,106,0.04,22:40,-,-,-,-,-,M-NTC,UFA,"$4,025,175","$4,025,175"
270. Brett Pesce,CAR,28,RD,Right,70,3,10,13,0.19,10,107,0.03,20:17,-,-,-,-,-,M-NTC,UFA,"$4,025,000","$4,025,000"
271. Ross Colton,COL,26,"C, LW",Left,80,17,23,40,0.50,-8,146,0.12,13:43,-,-,-,-,-,,UFA,"$4,000,000","$4,100,000"
272. Nick Foligno,CHI,35,"LW, C, RW",Left,74,17,20,37,0.50,-29,146,0.12,17:45,-,-,-,-,-,,UFA,"$4,000,000","$4,000,000"
273. Joonas Korpisalo,OTT,29,G,Left,55,-,-,-,-,-,-,-,-,21,26,0,3.27,.890,M-NTC,UFA,"$4,000,000","$4,000,000"
274. Ilya Sorokin,NYI,27,G,Left,56,-,-,-,-,-,-,-,-,25,19,2,3.01,.908,,UFA,"$4,000,000","$4,000,000"
275. Jake DeBrusk,BOS,26,"RW, LW",Left,80,19,21,40,0.50,4,183,0.10,16:49,-,-,-,-,-,,UFA,"$4,000,000","$4,000,000"
276. Adam Larsson,SEA,30,RD,Right,81,4,14,18,0.22,6,130,0.03,22:56,-,-,-,-,-,M-NTC,UFA,"$4,000,000","$5,500,000"
277. Noah Dobson,NYI,23,RD,Right,79,10,60,70,0.89,12,174,0.06,24:30,-,-,-,-,-,,RFA,"$4,000,000","$4,000,000"
278. Nino Niederreiter,WPG,30,"LW, RW",Left,77,18,16,34,0.44,12,170,0.11,14:57,-,-,-,-,-,,UFA,"$4,000,000","$4,000,000"
279. Alex Iafallo,WPG,29,"LW, RW",Left,82,11,16,27,0.33,14,120,0.09,15:18,-,-,-,-,-,,UFA,"$4,000,000","$4,400,000"
280. Jake Oettinger,DAL,24,G,Left,54,-,-,-,-,-,-,-,-,35,14,3,2.72,.905,,RFA,"$4,000,000","$4,800,000"
281. Erik Gudbranson,CBJ,31,RD,Right,78,6,20,26,0.33,-14,91,0.07,19:39,-,-,-,-,-,M-NTC,UFA,"$4,000,000","$4,000,000"
282. Corey Perry,EDM,38,RW,Right,54,12,10,22,0.41,-6,82,0.15,13:22,-,-,-,-,-,,UFA,"$4,000,000","$4,000,000"
283. Jake McCabe,TOR,29,LD/RD,Left,73,8,20,28,0.38,20,73,0.11,20:39,-,-,-,-,-,M-NTC,UFA,"$4,000,000","$4,000,000"
284. Radko Gudas,ANA,33,RD,Right,66,6,12,18,0.27,14,88,0.07,19:30,-,-,-,-,-,NTC,UFA,"$4,000,000","$4,000,000"
285. Jack Roslovic,NYR,26,"C, RW",Right,59,9,22,31,0.53,-10,117,0.08,15:33,-,-,-,-,-,,UFA,"$4,000,000","$4,000,000"
286. Robby Fabbri,DET,27,LW,Left,68,18,14,32,0.47,-13,97,0.19,12:52,-,-,-,-,-,,UFA,"$4,000,000","$4,250,000"
287. Nick Leddy,STL,32,LD,Left,82,3,25,28,0.34,14,82,0.04,22:21,-,-,-,-,-,NTC,UFA,"$4,000,000","$4,500,000"
288. Carter Hart,PHI,24,G,Left,26,-,-,-,-,-,-,-,-,12,9,1,2.80,.907,,RFA,"$3,979,000","$4,479,000"
289. Matt Dumba,TBL,28,RD,Right,76,4,8,12,0.16,-18,86,0.05,19:44,-,-,-,-,-,,UFA,"$3,900,000","$3,900,000"
290. Evan Bouchard,EDM,23,RD,Right,81,18,64,82,1.01,34,220,0.08,22:59,-,-,-,-,-,,RFA,"$3,900,000","$3,500,000"
291. Brenden Dillon,WPG,32,LD,Left,77,8,12,20,0.26,20,79,0.10,18:44,-,-,-,-,-,,UFA,"$3,900,000","$4,000,000"
292. K'Andre Miller,NYR,23,LD,Left,80,8,22,30,0.38,5,96,0.08,21:33,-,-,-,-,-,,RFA,"$3,872,000","$3,098,000"
293. Bowen Byram,BUF,22,LD/RD,Left,73,11,18,29,0.40,0,84,0.13,20:20,-,-,-,-,-,,RFA,"$3,850,000","$3,080,000"
294. Jake Allen,NJD,32,G,Left,34,-,-,-,-,-,-,-,-,12,18,0,3.44,.895,M-NTC,UFA,"$3,850,000","$4,400,000"
295. Petr Mrázek,CHI,31,G,Left,56,-,-,-,-,-,-,-,-,18,31,1,3.05,.907,M-NTC,UFA,"$3,800,000","$4,400,000"
296. Filip Gustavsson,MIN,25,G,Left,45,-,-,-,-,-,-,-,-,20,18,3,3.06,.900,,UFA,"$3,750,000","$4,250,000"
297. Boone Jenner,CBJ,30,"C, LW",Left,58,22,13,35,0.60,-8,155,0.14,20:05,-,-,-,-,-,M-NTC,UFA,"$3,750,000","$3,750,000"
298. Nikita Zadorov,VAN,28,LD/RD,Left,75,6,14,20,0.27,0,90,0.07,17:26,-,-,-,-,-,,UFA,"$3,750,000","$3,750,000"
299. Matt Grzelcyk,BOS,29,LD,Left,63,2,9,11,0.17,13,59,0.03,17:35,-,-,-,-,-,,UFA,"$3,687,500","$4,250,000"
300. Frank Vatrano,ANA,29,"LW, RW",Left,82,37,23,60,0.73,-20,272,0.14,18:20,-,-,-,-,-,,UFA,"$3,650,000","$3,650,000"
301. Ryan Suter,DAL,38,LD,Left,82,2,15,17,0.21,14,102,0.02,18:56,-,-,-,-,-,NMC,UFA,"$3,650,000","$4,300,000"
302. Barclay Goodrow,NYR,30,"C, LW",Left,80,4,8,12,0.15,-13,61,0.07,12:33,-,-,-,-,-,M-NTC,UFA,"$3,641,667","$5,100,000"
303. Ilya Samsonov,TOR,26,G,Left,40,-,-,-,-,-,-,-,-,23,7,3,3.13,.890,,UFA,"$3,550,000","$3,550,000"
304. David Savard,MTL,32,RD,Right,60,6,18,24,0.40,-1,54,0.11,20:14,-,-,-,-,-,,UFA,"$3,500,000","$4,200,000"
305. Joe Pavelski,DAL,38,RW,Right,82,27,40,67,0.82,12,194,0.14,16:48,-,-,-,-,-,NMC,UFA,"$3,500,000","$3,500,000"
306. Chris Driedger,SEA,29,G,Left,2,-,-,-,-,-,-,-,-,1,1,0,2.52,.917,M-NTC,UFA,"$3,500,000","$4,500,000"
307. Scott Mayfield,NYI,30,RD,Right,41,0,5,5,0.12,-7,36,0.00,18:45,-,-,-,-,-,NTC,UFA,"$3,500,000","$3,500,000"
308. Brandon Tanev,SEA,31,"LW, RW",Left,66,7,9,16,0.24,2,73,0.10,14:35,-,-,-,-,-,M-NTC,UFA,"$3,500,000","$3,500,000"
309. Joel Edmundson,TOR,30,LD/RD,Left,53,1,5,6,0.11,-2,46,0.02,16:40,-,-,-,-,-,M-NTC,UFA,"$3,500,000","$3,187,500"
310. Brandon Montour,FLA,29,RD,Right,66,8,25,33,0.50,1,168,0.05,23:26,-,-,-,-,-,,UFA,"$3,500,000","$5,250,000"
311. Alexander Kerfoot,UTA,28,"LW, C, RW",Left,82,13,32,45,0.55,-15,103,0.13,17:26,-,-,-,-,-,M-NTC,UFA,"$3,500,000","$3,000,000"
312. Marc-André Fleury,MIN,38,G,Left,40,-,-,-,-,-,-,-,-,17,15,2,2.98,.895,NMC,UFA,"$3,500,000","$3,500,000"
313. Jeremy Swayman,BOS,24,G,Left,44,-,-,-,-,-,-,-,-,25,10,3,2.53,.916,,RFA,"$3,475,000","$3,475,000"
314. Gabriel Vilardi,WPG,23,"RW, C",Right,47,22,14,36,0.77,11,117,0.19,17:00,-,-,-,-,-,,RFA,"$3,437,500","$3,275,000"
315. Matias Maccelli,UTA,22,LW,Left,82,17,40,57,0.70,-4,149,0.11,16:14,-,-,-,-,-,,RFA,"$3,425,000","$3,000,000"
316. Justin Holl,DET,31,RD,Right,38,0,5,5,0.13,8,14,0.00,15:04,-,-,-,-,-,M-NTC,UFA,"$3,400,000","$3,400,000"
317. Alexandar Georgiev,COL,27,G,Left,63,-,-,-,-,-,-,-,-,38,18,2,3.02,.897,,UFA,"$3,400,000","$3,700,000"
318. Jake Walman,DET,27,LD,Left,63,12,9,21,0.33,-2,108,0.11,19:46,-,-,-,-,-,M-NTC,UFA,"$3,400,000","$3,500,000"
319. Jonas Siegenthaler,NJD,26,LD,Left,57,1,8,9,0.16,-7,63,0.02,19:20,-,-,-,-,-,,UFA,"$3,400,000","$4,250,000"
320. Joel Armia,MTL,30,"RW, LW",Right,66,17,8,25,0.38,4,139,0.12,15:33,-,-,-,-,-,,UFA,"$3,400,000","$4,800,000"
321. Frederik Andersen,CAR,33,G,Left,16,-,-,-,-,-,-,-,-,13,2,3,1.84,.932,M-NTC,UFA,"$3,400,000","$3,700,000"
322. Vitek Vanecek,SJS,27,G,Left,32,-,-,-,-,-,-,-,-,17,9,0,3.18,.890,,UFA,"$3,400,000","$3,750,000"
323. Kirby Dach,MTL,22,"C, RW",Right,2,0,2,2,1.00,2,3,0.00,13:01,-,-,-,-,-,,RFA,"$3,362,500","$4,100,000"
324. Connor Clifton,BUF,28,RD,Right,79,4,14,18,0.23,12,77,0.05,16:33,-,-,-,-,-,,UFA,"$3,333,333","$3,333,334"
325. Marco Scandella,STL,33,LD,Left,65,2,6,8,0.12,2,42,0.05,12:28,-,-,-,-,-,M-NTC,UFA,"$3,275,000","$3,000,000"
326. Adam Lowry,WPG,30,C,Left,81,12,23,35,0.43,17,119,0.10,16:06,-,-,-,-,-,M-NTC,UFA,"$3,250,000","$4,500,000"
327. Mario Ferraro,SJS,24,LD,Left,78,3,18,21,0.27,-38,124,0.02,22:52,-,-,-,-,-,,UFA,"$3,250,000","$3,250,000"
328. Cody Ceci,EDM,29,RD,Right,79,5,20,25,0.32,12,97,0.05,20:01,-,-,-,-,-,,UFA,"$3,250,000","$4,500,000"
329. Carson Soucy,VAN,28,LD/RD,Left,40,2,4,6,0.15,10,29,0.07,17:29,-,-,-,-,-,NTC,UFA,"$3,250,000","$4,000,000"
330. Tanner Pearson,MTL,30,LW,Left,54,5,8,13,0.24,-12,77,0.06,12:56,-,-,-,-,-,,UFA,"$3,250,000","$4,250,000"
331. Radek Faksa,DAL,29,"C, LW",Left,74,7,12,19,0.26,0,71,0.10,12:30,-,-,-,-,-,M-NTC,UFA,"$3,250,000","$4,000,000"
332. Erik Johnson,PHI,35,RD,Right,67,5,1,6,0.09,-14,60,0.08,14:28,-,-,-,-,-,,UFA,"$3,250,000","$3,250,000"
333. Kasperi Kapanen,STL,26,RW,Right,73,6,16,22,0.30,-5,99,0.06,14:23,-,-,-,-,-,,UFA,"$3,200,000","$3,200,000"
334. Gustav Nyquist,NSH,33,"LW, RW",Left,81,23,52,75,0.93,7,153,0.15,17:44,-,-,-,-,-,,UFA,"$3,185,000","$3,185,000"
335. Erik Haula,NJD,32,"C, LW",Left,76,16,19,35,0.46,-1,155,0.10,16:52,-,-,-,-,-,NTC,UFA,"$3,150,000","$3,900,000"
336. Matt Roy,LAK,28,RD,Right,81,5,20,25,0.31,21,135,0.04,20:53,-,-,-,-,-,,UFA,"$3,150,000","$4,200,000"
337. Brian Dumoulin,SEA,31,LD,Left,80,6,10,16,0.20,3,69,0.09,17:00,-,-,-,-,-,M-NTC,UFA,"$3,150,000","$3,300,000"
338. Nicholas Paul,TBL,28,"C, LW",Left,82,24,22,46,0.56,-16,153,0.16,17:15,-,-,-,-,-,NTC,UFA,"$3,150,000","$4,150,000"
339. Jeff Carter,-,38,"RW, C",Right,72,11,4,15,0.21,-7,90,0.12,12:34,-,-,-,-,-,NMC,UFA,"$3,125,000","$3,000,000"
340. Marcus Foligno,MIN,31,"RW, LW",Left,55,10,12,22,0.40,10,56,0.18,14:28,-,-,-,-,-,NMC,UFA,"$3,100,000","$4,100,000"
341. Yegor Sharangovich,CGY,25,"C, LW, RW",Left,82,31,28,59,0.72,-29,179,0.17,17:18,-,-,-,-,-,,UFA,"$3,100,000","$3,100,000"
342. Evan Rodrigues,FLA,29,"LW, C",Right,80,12,27,39,0.49,26,186,0.06,15:10,-,-,-,-,-,,UFA,"$3,000,000","$3,000,000"
343. Martin Necas,CAR,24,RW,Right,77,24,29,53,0.69,-9,231,0.10,17:21,-,-,-,-,-,,RFA,"$3,000,000","$3,500,000"
344. Ryan Lindgren,NYR,25,LD,Left,76,3,14,17,0.22,22,73,0.04,19:21,-,-,-,-,-,,RFA,"$3,000,000","$4,000,000"
345. Anthony Duclair,TBL,27,"LW, RW",Left,73,24,18,42,0.58,-8,129,0.19,15:46,-,-,-,-,-,,UFA,"$3,000,000","$4,000,000"
346. Derek Forbort,BOS,31,LD,Left,35,0,4,4,0.11,8,22,0.00,17:47,-,-,-,-,-,M-NTC,UFA,"$3,000,000","$3,500,000"
347. Ian Cole,VAN,34,LD/RD,Left,78,2,9,11,0.14,10,61,0.03,18:41,-,-,-,-,-,,UFA,"$3,000,000","$3,000,000"
348. Matt Duchene,DAL,32,"RW, C",Left,80,25,40,65,0.81,15,172,0.15,16:45,-,-,-,-,-,,UFA,"$3,000,000","$3,000,000"
349. Trevor van Riemsdyk,WSH,31,RD,Right,70,0,14,14,0.20,-7,75,0.00,18:39,-,-,-,-,-,,UFA,"$3,000,000","$3,750,000"
350. Pierre Engvall,NYI,27,"RW, LW",Left,74,10,18,28,0.38,4,128,0.08,15:19,-,-,-,-,-,M-NTC,UFA,"$3,000,000","$3,000,000"
351. Jordan Greenway,BUF,26,"LW, RW",Left,67,10,18,28,0.42,11,107,0.09,17:14,-,-,-,-,-,,UFA,"$3,000,000","$3,500,000"
352. Justin Schultz,SEA,32,RD,Right,70,7,19,26,0.37,-23,100,0.07,16:28,-,-,-,-,-,M-NTC,UFA,"$3,000,000","$3,000,000"
353. Olli Määttä,DET,28,LD,Left,72,4,14,18,0.25,14,48,0.08,16:03,-,-,-,-,-,,UFA,"$3,000,000","$3,000,000"
354. Max Domi,TOR,28,"C, RW",Left,80,9,38,47,0.59,10,137,0.07,13:47,-,-,-,-,-,M-NTC,UFA,"$3,000,000","$3,000,000"
355. Nicolas Roy,VGK,26,"C, RW",Right,70,13,28,41,0.59,8,112,0.12,15:27,-,-,-,-,-,,UFA,"$3,000,000","$3,500,000"
356. Dylan DeMelo,WPG,30,RD,Right,82,3,28,31,0.38,46,83,0.04,21:43,-,-,-,-,-,M-NTC,UFA,"$3,000,000","$3,500,000"
357. Scott Laughton,PHI,29,"C, LW",Left,82,13,26,39,0.48,-9,167,0.08,15:39,-,-,-,-,-,,UFA,"$3,000,000","$3,875,000"
358. Mathieu Joseph,OTT,26,"LW, RW",Left,72,11,24,35,0.49,-4,124,0.09,16:28,-,-,-,-,-,,UFA,"$2,950,000","$2,700,000"
359. Jordan Staal,CAR,34,"C, LW",Left,80,10,20,30,0.38,-14,123,0.08,15:22,-,-,-,-,-,NMC,UFA,"$2,900,000","$3,450,000"
360. Alex Newhook,MTL,22,"C, LW",Left,55,15,19,34,0.62,-11,85,0.18,16:55,-,-,-,-,-,,RFA,"$2,900,000","$3,500,000"
361. Colton Sissons,NSH,29,"C, RW",Right,81,15,20,35,0.43,-6,131,0.11,16:34,-,-,-,-,-,,UFA,"$2,857,143","$3,500,000"
362. Brayden McNabb,VGK,32,LD,Left,82,4,22,26,0.32,18,86,0.05,19:21,-,-,-,-,-,M-NTC,UFA,"$2,850,000","$2,750,000"
363. Chandler Stephenson,VGK,29,"C, LW",Left,75,16,35,51,0.68,-9,97,0.16,18:29,-,-,-,-,-,,UFA,"$2,750,000","$3,225,000"
364. Anton Forsberg,OTT,30,G,Left,30,-,-,-,-,-,-,-,-,15,12,2,3.21,.890,,UFA,"$2,750,000","$2,950,000"
365. Kaapo Kähkönen,NJD,26,G,Left,37,-,-,-,-,-,-,-,-,7,24,1,3.64,.898,,UFA,"$2,750,000","$2,900,000"
366. Brett Kulak,EDM,29,LD/RD,Left,82,3,13,16,0.20,0,94,0.03,15:23,-,-,-,-,-,,UFA,"$2,750,000","$3,000,000"
367. Zach Whitecloud,VGK,26,RD,Right,61,2,12,14,0.23,-3,51,0.04,17:35,-,-,-,-,-,,UFA,"$2,750,000","$3,000,000"
368. Luke Kunin,SJS,25,"RW, C",Right,77,11,7,18,0.23,-30,98,0.11,15:44,-,-,-,-,-,,RFA,"$2,750,000","$3,000,000"
369. Jan Rutta,SJS,32,LD/RD,Right,69,5,14,19,0.28,-21,69,0.07,19:43,-,-,-,-,-,,UFA,"$2,750,000","$2,500,000"
370. Patrick Kane,DET,34,RW,Left,50,20,27,47,0.94,-5,147,0.14,18:22,-,-,-,-,-,NTC,UFA,"$2,750,000","$2,750,000"
371. Luke Schenn,NSH,33,RD,Right,63,1,6,7,0.11,1,81,0.01,15:11,-,-,-,-,-,,UFA,"$2,750,000","$2,750,000"
372. Warren Foegele,EDM,27,"LW, RW",Left,82,20,21,41,0.50,3,201,0.10,13:58,-,-,-,-,-,,UFA,"$2,750,000","$3,250,000"
373. Brock McGinn,ANA,29,"LW, RW",Left,24,1,2,3,0.13,-5,24,0.04,11:04,-,-,-,-,-,,UFA,"$2,750,000","$2,750,000"
374. Ilya Lyubushkin,TOR,29,RD,Right,74,0,8,8,0.11,-11,47,0.00,17:07,-,-,-,-,-,,UFA,"$2,750,000","$2,750,000"
375. Andrew Peeke,BOS,25,RD,Right,38,1,9,10,0.26,-1,37,0.03,16:23,-,-,-,-,-,,UFA,"$2,750,000","$2,750,000"
376. Semyon Varlamov,NYI,35,G,Left,28,-,-,-,-,-,-,-,-,14,8,3,2.60,.918,NTC,UFA,"$2,750,000","$2,750,000"
377. Karel Vejmelka,UTA,27,G,Right,38,-,-,-,-,-,-,-,-,13,19,1,3.35,.895,,UFA,"$2,725,000","$3,150,000"
378. William Borgen,SEA,26,RD,Right,82,3,22,25,0.30,-5,97,0.03,17:35,-,-,-,-,-,,UFA,"$2,700,000","$2,500,000"
379. Martin Fehérváry,WSH,23,LD/RD,Left,66,3,13,16,0.24,-7,61,0.05,19:37,-,-,-,-,-,,RFA,"$2,675,000","$3,400,000"
380. Gustav Forsling,FLA,27,LD,Left,79,10,29,39,0.49,56,160,0.06,22:08,-,-,-,-,-,,UFA,"$2,666,667","$3,500,000"
381. Tanner Jeannot,TBL,26,"RW, LW",Left,55,7,7,14,0.25,-10,59,0.12,12:01,-,-,-,-,-,,UFA,"$2,665,000","$3,045,000"
382. Sean Walker,COL,28,LD/RD,Right,81,10,19,29,0.36,11,150,0.07,19:13,-,-,-,-,-,,UFA,"$2,650,000","$3,350,000"
383. Jason Dickinson,CHI,27,"C, LW",Left,82,22,13,35,0.43,4,126,0.17,16:34,-,-,-,-,-,,UFA,"$2,650,000","$3,250,000"
384. Noah Cates,PHI,24,"C, LW",Left,59,6,12,18,0.31,-8,78,0.08,13:47,-,-,-,-,-,,RFA,"$2,625,000","$2,625,000"
385. Stuart Skinner,EDM,24,G,Left,59,-,-,-,-,-,-,-,-,36,16,2,2.62,.905,,UFA,"$2,600,000","$2,300,000"
386. Adam Boqvist,CBJ,22,RD,Right,35,1,9,10,0.29,-8,45,0.02,18:17,-,-,-,-,-,,RFA,"$2,600,000","$2,600,000"
387. Oskar Lindblom,-,26,LW,Left,1,0,0,0,0.00,-1,0,0.00,11:56,-,-,-,-,-,,UFA,"$2,500,000","$2,500,000"
388. Alexander Romanov,NYI,23,LD,Left,81,7,15,22,0.27,23,117,0.06,20:50,-,-,-,-,-,,RFA,"$2,500,000","$2,500,000"
389. Miles Wood,COL,27,LW,Left,74,9,17,26,0.35,-5,167,0.05,13:41,-,-,-,-,-,,UFA,"$2,500,000","$3,250,000"
390. Kyle Okposo,FLA,35,RW,Right,67,12,10,22,0.33,1,114,0.11,13:20,-,-,-,-,-,,UFA,"$2,500,000","$2,500,000"
391. Alexandre Carrier,NSH,26,RD,Right,73,4,16,20,0.27,7,77,0.05,18:48,-,-,-,-,-,,UFA,"$2,500,000","$2,500,000"
392. Dominik Kubalik,OTT,27,"LW, RW",Left,74,11,4,15,0.20,-30,91,0.12,12:07,-,-,-,-,-,,UFA,"$2,500,000","$2,500,000"
393. Sean Kuraly,CBJ,30,"C, LW",Left,62,9,9,18,0.29,-5,92,0.10,13:44,-,-,-,-,-,M-NTC,UFA,"$2,500,000","$3,250,000"
394. Cody Glass,NSH,24,"C, RW",Right,41,6,7,13,0.32,-9,82,0.07,13:25,-,-,-,-,-,,RFA,"$2,500,000","$2,500,000"
395. Casey Mittelstadt,COL,24,"LW, C",Left,80,18,39,57,0.71,10,127,0.14,17:44,-,-,-,-,-,,RFA,"$2,500,000","$2,600,000"
396. Tucker Poolman,VAN,30,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$2,500,000","$3,000,000"
397. Henri Jokiharju,BUF,24,RD,Right,74,3,17,20,0.27,14,84,0.04,18:58,-,-,-,-,-,,RFA,"$2,500,000","$2,600,000"
398. Dante Fabbro,NSH,25,RD,Right,56,3,10,13,0.23,9,65,0.05,16:21,-,-,-,-,-,,RFA,"$2,500,000","$2,500,000"
399. Casey Cizikas,NYI,32,C,Left,70,10,13,23,0.33,-2,82,0.12,13:56,-,-,-,-,-,,UFA,"$2,500,000","$2,500,000"
400. Alexander Barabanov,SJS,29,"RW, LW",Left,46,4,9,13,0.28,-24,67,0.06,15:52,-,-,-,-,-,M-NTC,UFA,"$2,500,000","$2,500,000"
401. Oliver Kylington,CGY,26,LD/RD,Left,33,3,5,8,0.24,-6,42,0.07,17:14,-,-,-,-,-,,UFA,"$2,500,000","$2,500,000"
402. Zemgus Girgensons,BUF,29,"LW, C",Left,63,8,6,14,0.22,-1,73,0.11,11:50,-,-,-,-,-,,UFA,"$2,500,000","$2,500,000"
403. Niko Mikkola,FLA,27,LD,Left,82,3,14,17,0.21,11,93,0.03,20:02,-,-,-,-,-,,UFA,"$2,500,000","$3,000,000"
