PLAYER,TEAM,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,CLAUSE,EXPIRY,CAP HIT,SALARY
190. Bryan Rust,PIT,31,"RW, LW",Right,62,28,28,56,0.90,10,196,0.14,19:34,-,-,-,-,-,NMC,UFA,"$5,125,000","$6,100,000"
191. Evander Kane,EDM,31,"LW, RW",Left,77,24,20,44,0.57,-4,220,0.11,16:46,-,-,-,-,-,NMC,UFA,"$5,125,000","$5,500,000"
192. Ryan Nugent-Hopkins,EDM,30,"LW, C",Left,80,18,49,67,0.84,10,183,0.10,19:37,-,-,-,-,-,NMC,UFA,"$5,125,000","$6,250,000"
193. Rasmus Ristolainen,PHI,28,RD,Right,31,1,3,4,0.13,-6,46,0.02,16:41,-,-,-,-,-,,UFA,"$5,100,000","$5,500,000"
194. J.T. Compher,DET,28,"C, RW",Right,77,19,29,48,0.62,-5,108,0.18,19:23,-,-,-,-,-,M-NTC,UFA,"$5,100,000","$5,500,000"
195. Vladimir Tarasenko,FLA,31,RW,Left,76,23,32,55,0.72,13,155,0.15,15:44,-,-,-,-,-,NTC,UFA,"$5,000,000","$5,000,000"
196. Mikael Granlund,SJS,31,"C, RW",Left,69,12,48,60,0.87,-23,134,0.09,20:57,-,-,-,-,-,,UFA,"$5,000,000","$6,000,000"
197. Jared McCann,SEA,27,"C, LW",Left,80,29,33,62,0.78,-10,216,0.13,16:45,-,-,-,-,-,M-NTC,UFA,"$5,000,000","$6,000,000"
198. Ivan Barbashev,VGK,27,"LW, RW",Left,82,19,26,45,0.55,15,122,0.16,16:06,-,-,-,-,-,M-NTC,UFA,"$5,000,000","$7,000,000"
199. Kyle Palmieri,NYI,32,"RW, LW",Right,82,30,24,54,0.66,-16,218,0.14,17:13,-,-,-,-,-,M-NTC,UFA,"$5,000,000","$5,000,000"
200. Jonathan Marchessault,VGK,32,"RW, LW",Right,82,42,27,69,0.84,-2,266,0.16,17:53,-,-,-,-,-,M-NTC,UFA,"$5,000,000","$3,500,000"
201. TJ Brodie,TOR,33,LD/RD,Left,78,1,25,26,0.33,17,52,0.02,21:43,-,-,-,-,-,M-NTC,UFA,"$5,000,000","$7,500,000"
202. Cal Petersen,PHI,28,G,Right,5,-,-,-,-,-,-,-,-,2,2,0,3.91,.864,M-NTC,UFA,"$5,000,000","$5,000,000"
203. Jean-Gabriel Pageau,NYI,30,C,Right,82,11,22,33,0.40,-8,101,0.11,15:54,-,-,-,-,-,M-NTC,UFA,"$5,000,000","$4,500,000"
204. Jack Campbell,EDM,31,G,Left,5,-,-,-,-,-,-,-,-,1,4,0,4.51,.873,M-NTC,UFA,"$5,000,000","$6,000,000"
205. Ryan Strome,ANA,29,"RW, C",Right,79,11,30,41,0.52,-20,131,0.08,15:47,-,-,-,-,-,,UFA,"$5,000,000","$5,000,000"
206. Samuel Girard,COL,25,LD/RD,Left,59,3,15,18,0.31,0,73,0.04,19:22,-,-,-,-,-,,UFA,"$5,000,000","$5,000,000"
207. Rickard Rakell,PIT,30,"RW, LW",Right,70,15,22,37,0.53,4,165,0.09,16:30,-,-,-,-,-,M-NTC,UFA,"$5,000,000","$6,000,000"
208. Robin Lehner,VGK,31,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,M-NTC,UFA,"$5,000,000","$6,000,000"
209. Juuse Saros,NSH,28,G,Left,64,-,-,-,-,-,-,-,-,35,24,3,2.86,.906,,UFA,"$5,000,000","$6,000,000"
