Player,Team_start,Team_end,Shoots,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI_min,FOW%
Jakob Chychrun,OTT,OTT,L,D,82,14,27,41,-30,60,0.5,7,25,7,16,0,0,0,2,204,6.9,22.38,0.0
Nicolas Roy,VGK,VGK,R,C,70,13,28,41,8,29,0.59,11,33,1,7,1,1,0,2,112,11.6,15.45,46.8
Morgan Frost,PHI,PHI,L,C,71,13,28,41,4,22,0.58,10,30,3,11,0,0,0,1,135,9.6,15.83,49.5
Ryan Strome,ANA,ANA,R,C,79,11,30,41,-20,86,0.52,9,26,2,15,0,0,0,0,131,8.4,15.8,46.1
Sean Durzi,ARI,ARI,R,D,76,9,32,41,-1,63,0.54,6,25,3,16,0,0,0,1,142,6.3,22.72,0.0
Marco Rossi,MIN,MIN,L,C,82,21,19,40,-4,47,0.49,19,34,2,6,0,0,1,2,167,12.6,16.73,44.7
Jake DeBrusk,BOS,BOS,L,L,80,19,21,40,4,18,0.5,15,28,2,10,2,2,1,3,183,10.4,16.83,30.4
Trent Frederic,BOS,BOS,L,C,82,18,22,40,9,69,0.49,16,38,2,2,0,0,0,1,123,14.6,13.75,45.4
Ross Colton,COL,COL,L,C,80,17,23,40,-8,61,0.5,14,35,3,5,0,0,0,2,146,11.6,13.72,51.6
Pierre-Luc Dubois,LAK,LAK,L,C,82,16,24,40,-9,70,0.49,9,32,7,8,0,0,0,4,146,11.0,15.7,49.7
Andrew Mangiapane,CGY,CGY,L,L,75,14,26,40,7,47,0.53,11,36,2,3,1,1,0,0,122,11.5,16.0,50.0
Reilly Smith,PIT,PIT,L,R,76,13,27,40,3,18,0.53,12,32,1,8,0,0,0,3,152,8.6,16.13,26.3
Morgan Geekie,BOS,BOS,R,C,76,17,22,39,6,28,0.51,13,27,4,12,0,0,0,1,130,13.1,15.42,44.1
Luke Evangelista,NSH,NSH,R,R,80,16,23,39,0,18,0.49,13,29,3,10,0,0,0,1,172,9.3,13.95,25.0
