Player,Team_start,Team_end,Shoots,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI_min,FOW%
Dryden Hunt,CGY,CGY,L,L,28,3,5,8,1,7,0.29,3,8,0,0,0,0,0,1,33,9.1,11.13,40.0
Oliver Kylington,CGY,CGY,L,D,33,3,5,8,-6,12,0.24,3,8,0,0,0,0,0,0,42,7.1,17.25,0.0
Marco Scandella,STL,STL,L,D,65,2,6,8,2,15,0.12,1,7,0,0,1,1,0,1,42,4.8,12.47,0.0
Travis Boyd,ARI,ARI,R,C,16,2,6,8,3,2,0.5,2,8,0,0,0,0,0,1,12,16.7,9.62,53.5
Connor Murphy,CHI,CHI,R,D,46,2,6,8,-19,40,0.17,2,8,0,0,0,0,0,0,51,3.9,19.83,0.0
Kyle Burroughs,SJS,SJS,R,D,73,2,6,8,-42,71,0.11,2,7,0,1,0,0,0,1,79,2.5,19.15,0.0
Brendan Brisson,VGK,VGK,L,C,15,2,6,8,-5,2,0.53,1,6,1,2,0,0,0,1,20,10.0,12.33,50.0
Jacob Bryson,BUF,BUF,L,D,36,1,7,8,5,8,0.22,1,8,0,0,0,0,0,0,15,6.7,14.68,0.0
Parker Wotherspoon,BOS,BOS,L,D,41,0,8,8,6,31,0.2,0,8,0,0,0,0,0,0,32,0.0,17.72,0.0
Ilya Lyubushkin,ANA,TOR,R,D,74,0,8,8,-11,57,0.11,0,8,0,0,0,0,0,0,47,0.0,17.12,0.0
Ryan Lomberg,FLA,FLA,L,L,75,5,2,7,-1,80,0.09,4,6,1,1,0,0,0,2,68,7.4,9.53,29.4
Justin Brazeau,BOS,BOS,R,R,19,5,2,7,4,2,0.37,3,5,2,2,0,0,0,1,31,16.1,11.12,30.0
Michael Sgarbossa,WSH,WSH,L,C,25,4,3,7,0,2,0.28,4,6,0,1,0,0,0,1,27,14.8,10.97,46.0
Pierre-Edouard Bellemare,SEA,SEA,L,L,40,4,3,7,4,6,0.18,3,6,0,0,1,1,0,0,36,11.1,9.83,53.5
Noel Acciari,PIT,PIT,R,C,55,4,3,7,-7,10,0.13,4,7,0,0,0,0,0,1,59,6.8,12.97,54.5
Mitchell Chaffee,TBL,TBL,R,R,30,4,3,7,2,4,0.23,4,7,0,0,0,0,0,0,27,14.8,11.28,0.0
Radim Zohorna,PIT,PIT,L,L,33,4,3,7,0,18,0.21,4,7,0,0,0,0,0,1,38,10.5,9.77,50.0
Dillon Dube,CGY,CGY,L,C,43,3,4,7,-13,8,0.16,2,6,1,1,0,0,0,0,42,7.1,11.17,53.1
David Gustafsson,WPG,WPG,L,C,39,3,4,7,1,0,0.18,3,7,0,0,0,0,0,0,27,11.1,9.27,54.6
Nils Aman,VAN,VAN,L,C,43,3,4,7,-3,8,0.16,3,7,0,0,0,0,0,0,28,10.7,10.33,45.6
Daniil Miromanov,VGK,CGY,R,D,24,3,4,7,-2,8,0.29,3,5,0,2,0,0,0,0,46,6.5,20.72,0.0
Travis Dermott,ARI,ARI,L,D,50,2,5,7,-14,26,0.14,2,7,0,0,0,0,0,0,38,5.3,17.28,0.0
Nikita Zaitsev,CHI,CHI,R,D,38,2,5,7,-5,14,0.18,2,5,0,2,0,0,0,0,31,6.5,15.93,0.0
Nick DeSimone,CGY,NJD,R,D,34,2,5,7,3,4,0.21,2,7,0,0,0,0,0,1,28,7.1,13.48,0.0
Brayden Pachal,VGK,CGY,R,D,50,2,5,7,-3,51,0.14,2,6,0,0,0,1,0,0,52,3.9,14.68,0.0
Walker Duehr,CGY,CGY,R,R,40,2,5,7,-3,6,0.18,2,7,0,0,0,0,0,0,29,6.9,8.12,16.7
Luke Schenn,NSH,NSH,R,D,63,1,6,7,1,43,0.11,1,7,0,0,0,0,0,0,81,1.2,15.18,0.0
Sammy Blais,STL,STL,L,L,53,1,6,7,-11,31,0.13,1,7,0,0,0,0,0,0,33,3.0,9.68,22.2
Noah Juulsen,VAN,VAN,R,D,54,1,6,7,-1,22,0.13,1,7,0,0,0,0,0,0,30,3.3,14.9,0.0
Dennis Gilbert,CGY,CGY,L,D,34,1,6,7,-7,16,0.21,1,7,0,0,0,0,0,0,23,4.4,12.28,0.0
Troy Stecher,ARI,EDM,R,D,54,1,6,7,9,32,0.13,1,7,0,0,0,0,0,0,51,2.0,18.12,0.0
Mattias Samuelsson,BUF,BUF,L,D,41,1,6,7,4,26,0.17,1,7,0,0,0,0,0,1,44,2.3,20.5,0.0
Matthew Kessel,STL,STL,R,D,39,1,6,7,0,12,0.18,1,7,0,0,0,0,0,0,28,3.6,16.8,0.0
Ryan Johnson,BUF,BUF,L,D,41,0,7,7,3,12,0.17,0,7,0,0,0,0,0,0,35,0.0,13.87,0.0
Wyatt Kaiser,CHI,CHI,L,D,32,0,7,7,0,22,0.22,0,7,0,0,0,0,0,0,18,0.0,17.32,0.0
Erik Johnson,BUF,PHI,R,D,67,5,1,6,-14,26,0.09,5,6,0,0,0,0,0,1,60,8.3,14.47,0.0
Ryan Reaves,TOR,TOR,R,R,49,4,2,6,-13,49,0.12,4,6,0,0,0,0,0,0,26,15.4,8.12,100.0
Tyson Jost,BUF,BUF,L,C,43,3,3,6,-11,10,0.14,3,6,0,0,0,0,0,0,48,6.3,10.6,42.6
Travis Hamonic,OTT,OTT,R,D,48,2,4,6,-10,40,0.13,2,6,0,0,0,0,0,0,50,4.0,14.73,0.0
Carson Soucy,VAN,VAN,L,D,40,2,4,6,10,12,0.15,1,4,1,2,0,0,0,0,29,6.9,17.48,0.0
Tomas Nosek,NJD,NJD,L,L,36,2,4,6,-11,6,0.17,2,6,0,0,0,0,0,0,38,5.3,11.82,51.9
Jakub Vrana,STL,STL,L,L,21,2,4,6,-7,8,0.29,2,6,0,0,0,0,0,0,42,4.8,12.13,0.0
Oliver Wahlstrom,NYI,NYI,R,R,32,2,4,6,-6,8,0.19,1,4,1,2,0,0,0,0,41,4.9,11.07,41.7
Jonatan Berggren,DET,DET,L,R,12,2,4,6,-1,2,0.5,2,6,0,0,0,0,0,0,14,14.3,10.87,0.0
Brandt Clarke,LAK,LAK,R,D,16,2,4,6,-6,10,0.38,2,3,0,3,0,0,1,1,31,6.5,13.65,0.0
Ivan Miroshnichenko,WSH,WSH,R,L,21,2,4,6,-4,6,0.29,2,5,0,1,0,0,0,0,30,6.7,12.13,0.0
Joel Edmundson,WSH,TOR,L,D,53,1,5,6,-2,23,0.11,1,6,0,0,0,0,0,0,46,2.2,16.67,0.0
Zachary Sanford,ARI,CHI,L,L,29,0,6,6,0,6,0.21,0,5,0,1,0,0,0,0,24,0.0,10.83,35.3
Filip Chytil,NYR,NYR,L,C,10,0,6,6,0,4,0.6,0,5,0,1,0,0,0,0,22,0.0,15.93,43.3
Isaak Phillips,CHI,CHI,L,D,33,0,6,6,-26,22,0.18,0,6,0,0,0,0,0,0,31,0.0,17.07,0.0
Shane Wright,SEA,SEA,R,C,8,4,1,5,1,0,0.63,4,4,0,1,0,0,0,3,12,33.3,13.53,50.6
Brendan Lemieux,CAR,CAR,L,L,32,3,2,5,0,64,0.16,3,5,0,0,0,0,0,1,29,10.3,8.0,26.7
John Ludvig,PIT,PIT,L,D,33,3,2,5,-12,47,0.15,3,5,0,0,0,0,0,1,24,12.5,11.8,0.0
Axel Jonsson-Fjallby,WPG,WPG,L,L,26,2,3,5,6,0,0.19,2,5,0,0,0,0,0,1,23,8.7,8.12,50.0
Reese Johnson,CHI,CHI,R,C,42,2,3,5,-20,40,0.12,2,5,0,0,0,0,0,0,51,3.9,10.93,51.9
Jacob Lucchini,MIN,MIN,L,C,40,2,3,5,-3,23,0.13,2,5,0,0,0,0,0,0,22,9.1,9.6,43.7
Samuel Bolduc,NYI,NYI,L,D,34,2,3,5,-4,6,0.15,1,4,1,1,0,0,0,0,32,6.3,13.15,0.0
Marc Staal,PHI,PHI,L,D,35,1,4,5,2,14,0.14,1,5,0,0,0,0,0,0,20,5.0,13.82,0.0
Nick Bonino,NYR,NYR,L,C,45,1,4,5,-12,8,0.11,1,5,0,0,0,0,0,0,31,3.2,12.25,51.0
Dominic Toninato,WPG,WPG,L,C,15,1,4,5,7,6,0.33,1,5,0,0,0,0,0,1,12,8.3,10.18,47.7
Joel Hanley,DAL,CGY,L,D,42,1,4,5,3,30,0.12,1,5,0,0,0,0,0,0,19,5.3,13.9,0.0
Haydn Fleury,TBL,TBL,L,D,24,1,4,5,5,20,0.21,1,5,0,0,0,0,0,0,25,4.0,16.12,0.0
Matthew Phillips,WSH,WSH,R,R,31,1,4,5,-3,0,0.16,1,5,0,0,0,0,0,0,21,4.8,10.18,33.3
Olle Lycksell,PHI,PHI,L,R,18,1,4,5,0,6,0.28,1,5,0,0,0,0,0,0,29,3.5,9.95,40.0
Simon Benoit,TOR,TOR,L,D,64,1,4,5,7,56,0.08,1,5,0,0,0,0,0,0,52,1.9,17.23,0.0
Jared Spurgeon,MIN,MIN,R,D,16,0,5,5,5,2,0.31,0,2,0,3,0,0,0,0,21,0.0,23.33,0.0
Justin Holl,DET,DET,R,D,38,0,5,5,8,22,0.13,0,5,0,0,0,0,0,0,14,0.0,15.08,0.0
John Klingberg,TOR,TOR,R,D,14,0,5,5,-7,8,0.36,0,3,0,2,0,0,0,0,14,0.0,20.55,0.0
Scott Mayfield,NYI,NYI,R,D,41,0,5,5,-7,35,0.12,0,5,0,0,0,0,0,0,36,0.0,18.77,0.0
Caleb Jones,COL,COL,L,D,25,0,5,5,4,8,0.2,0,5,0,0,0,0,0,0,19,0.0,12.2,0.0
Emil Lilleberg,TBL,TBL,L,D,37,0,5,5,-15,16,0.14,0,5,0,0,0,0,0,0,31,0.0,16.2,0.0
Max Willman,NJD,NJD,L,C,18,3,1,4,1,2,0.22,3,4,0,0,0,0,0,1,17,17.7,8.33,33.3
Kevin Rooney,CGY,CGY,L,C,33,3,1,4,-4,2,0.12,3,4,0,0,0,0,0,0,27,11.1,11.22,46.6
Jesse Puljujarvi,PIT,PIT,R,R,22,3,1,4,2,6,0.18,3,4,0,0,0,0,0,0,29,10.3,9.18,16.7
Akil Thomas,LAK,LAK,R,C,7,3,1,4,0,2,0.57,3,4,0,0,0,0,0,1,9,33.3,8.73,40.0
Mason Morelli,VGK,VGK,L,L,9,3,1,4,-3,0,0.44,2,3,1,1,0,0,0,0,9,33.3,10.75,33.3
Austin Watson,TBL,TBL,R,L,33,2,2,4,2,93,0.12,2,4,0,0,0,0,0,0,17,11.8,7.27,0.0
Taylor Hall,CHI,CHI,L,L,10,2,2,4,-3,4,0.4,2,3,0,1,0,0,0,1,20,10.0,16.33,66.7
Brendan Gaunce,CBJ,CBJ,L,C,24,2,2,4,-7,6,0.17,2,4,0,0,0,0,0,0,24,8.3,11.75,53.9
Louie Belpedio,PHI,PHI,R,D,12,2,2,4,6,0,0.33,2,4,0,0,0,0,0,1,12,16.7,13.2,0.0
Jonah Gadjovich,FLA,FLA,L,L,39,2,2,4,0,104,0.1,2,4,0,0,0,0,0,0,29,6.9,7.43,0.0
Spencer Stastney,NSH,NSH,L,D,20,2,2,4,9,4,0.2,2,4,0,0,0,0,0,1,11,18.2,15.98,0.0
James Malatesta,CBJ,CBJ,L,L,11,2,2,4,-1,5,0.36,2,4,0,0,0,0,0,0,12,16.7,10.22,0.0
Nicolas Deslauriers,PHI,PHI,L,L,60,1,3,4,-7,89,0.07,1,4,0,0,0,0,0,0,49,2.0,8.15,38.5
Tyler Pitlick,NYR,NYR,R,C,34,1,3,4,-6,4,0.12,1,4,0,0,0,0,0,0,32,3.1,10.2,17.7
Matt Nieto,PIT,PIT,L,L,22,1,3,4,5,4,0.18,1,4,0,0,0,0,0,0,13,7.7,11.62,0.0
Devin Shore,SEA,SEA,L,C,21,1,3,4,3,4,0.19,1,4,0,0,0,0,0,0,15,6.7,8.0,50.0
Zach Bogosian,TBL,MIN,R,D,65,3,11,14,11,63,0.22,3,13,0,0,0,1,0,1,83,3.6,17.88,0.0
Ryan Graves,PIT,PIT,L,D,70,3,11,14,10,30,0.2,3,14,0,0,0,0,0,1,77,3.9,18.38,0.0
Jordan Harris,MTL,MTL,L,D,56,3,11,14,-5,22,0.25,3,14,0,0,0,0,0,0,43,7.0,17.47,0.0
Nate Schmidt,WPG,WPG,L,D,63,2,12,14,10,16,0.22,1,10,1,4,0,0,0,1,75,2.7,16.82,0.0
Zach Whitecloud,VGK,VGK,R,D,61,2,12,14,-3,32,0.23,2,13,0,0,0,1,0,1,51,3.9,17.58,0.0
Nick Jensen,WSH,WSH,R,D,78,1,13,14,-9,10,0.18,1,14,0,0,0,0,0,0,71,1.4,19.63,0.0
Urho Vaakanainen,ANA,ANA,L,D,68,1,13,14,0,26,0.21,1,13,0,0,0,1,0,0,67,1.5,17.48,0.0
Trevor van Riemsdyk,WSH,WSH,R,D,70,0,14,14,-7,18,0.2,0,13,0,0,0,1,0,0,75,0.0,18.67,0.0
Nathan Walker,STL,STL,L,L,45,7,6,13,-1,18,0.29,7,13,0,0,0,0,0,0,43,16.3,10.82,47.6
Boris Katchouk,CHI,OTT,L,L,59,7,6,13,-6,12,0.22,6,12,0,0,1,1,0,0,70,10.0,11.48,43.6
Justin Barron,MTL,MTL,R,D,48,7,6,13,-3,16,0.27,6,12,1,1,0,0,1,1,60,11.7,18.63,0.0
Cody Glass,NSH,NSH,R,C,41,6,7,13,-9,20,0.32,6,12,0,1,0,0,0,1,82,7.3,13.43,46.1
Johnathan Kovacevic,MTL,MTL,R,D,62,6,7,13,11,42,0.21,6,13,0,0,0,0,0,0,46,13.0,16.52,0.0
Tanner Pearson,MTL,MTL,L,L,54,5,8,13,-12,21,0.24,4,11,1,2,0,0,0,1,77,6.5,12.93,22.7
Brandon Duhaime,MIN,COL,L,R,80,5,8,13,-5,70,0.16,4,12,0,0,1,1,0,0,92,5.4,10.87,40.0
Nico Sturm,SJS,SJS,L,C,63,5,8,13,-25,12,0.21,4,12,0,0,1,1,0,0,69,7.3,14.67,60.1
Jake Bean,CBJ,CBJ,L,D,72,4,9,13,-10,32,0.18,4,13,0,0,0,0,0,0,76,5.3,16.33,0.0
Alexander Barabanov,SJS,SJS,L,L,46,4,9,13,-24,12,0.28,4,11,0,2,0,0,0,0,67,6.0,15.87,40.0
Mason Lohrei,BOS,BOS,L,D,41,4,9,13,-2,18,0.32,3,10,1,3,0,0,0,1,43,9.3,16.95,0.0
Brett Pesce,CAR,CAR,R,D,70,3,10,13,10,20,0.19,3,13,0,0,0,0,1,1,107,2.8,20.28,0.0
Dante Fabbro,NSH,NSH,R,D,56,3,10,13,9,24,0.23,3,13,0,0,0,0,0,0,65,4.6,16.35,0.0
Erik Cernak,TBL,TBL,R,D,69,2,11,13,5,63,0.19,2,13,0,0,0,0,0,0,53,3.8,19.18,0.0
Nick Seeler,PHI,PHI,L,D,71,1,12,13,9,78,0.18,1,9,0,0,0,4,0,0,100,1.0,16.95,0.0
Colin Blackwell,CHI,CHI,R,C,44,8,4,12,-2,10,0.27,7,11,1,1,0,0,0,2,88,9.1,14.5,45.7
Carl Grundstrom,LAK,LAK,L,R,50,8,4,12,-2,12,0.24,6,10,1,1,1,1,0,1,95,8.4,10.93,20.0
Juuso Parssinen,NSH,NSH,L,C,44,8,4,12,-6,12,0.27,6,9,2,3,0,0,0,0,54,14.8,14.6,37.5
Marc-Edouard Vlasic,SJS,SJS,L,D,57,6,6,12,-27,26,0.21,6,12,0,0,0,0,0,1,72,8.3,16.28,0.0
A.J. Greer,CGY,CGY,L,L,59,6,6,12,-7,35,0.2,5,11,1,1,0,0,0,0,57,10.5,8.83,50.0
Noah Gregor,TOR,TOR,L,C,63,6,6,12,-7,17,0.19,4,10,1,1,1,1,0,1,110,5.5,11.4,58.3
Ryan Carpenter,SJS,SJS,R,C,62,5,7,12,-16,6,0.19,5,12,0,0,0,0,0,0,58,8.6,11.1,47.8
Derek Ryan,EDM,EDM,R,C,70,5,7,12,-3,8,0.17,3,9,0,0,2,3,0,0,52,9.6,10.2,55.8
Nathan Bastian,NJD,NJD,R,R,54,5,7,12,-10,32,0.22,5,12,0,0,0,0,0,1,57,8.8,10.17,51.9
Mathieu Olivier,CBJ,CBJ,R,R,54,5,7,12,-4,70,0.22,4,11,0,0,1,1,0,1,55,9.1,11.28,25.0
Barclay Goodrow,NYR,NYR,L,C,80,4,8,12,-13,78,0.15,3,11,0,0,1,1,0,1,61,6.6,12.57,54.0
Mathew Dumba,ARI,TBL,R,D,76,4,8,12,-18,88,0.16,4,12,0,0,0,0,0,0,86,4.7,19.73,0.0
Chris Tierney,NJD,NJD,L,C,52,4,8,12,3,21,0.23,4,12,0,0,0,0,0,0,26,15.4,9.03,57.2
Connor Brown,EDM,EDM,R,R,71,4,8,12,-8,10,0.17,4,12,0,0,0,0,0,0,108,3.7,12.8,41.5
Mattias Janmark,EDM,EDM,L,C,71,4,8,12,0,46,0.17,4,12,0,0,0,0,0,0,67,6.0,11.9,42.7
Michael Pezzetta,MTL,MTL,L,L,61,3,9,12,4,59,0.2,3,12,0,0,0,0,0,1,42,7.1,7.8,42.9
Jani Hakanpää,DAL,DAL,R,D,64,2,10,12,10,33,0.19,2,12,0,0,0,0,0,1,56,3.6,18.65,0.0
Nicolas Hague,VGK,VGK,L,D,73,2,10,12,-5,43,0.16,2,12,0,0,0,0,0,1,105,1.9,18.55,0.0
Luke Glendening,TBL,TBL,R,C,81,10,1,11,-2,39,0.14,9,10,0,0,1,1,0,1,57,17.5,11.62,56.0
Thomas Bordeleau,SJS,SJS,L,C,27,6,5,11,-18,18,0.41,2,4,4,7,0,0,0,1,48,12.5,15.02,52.8
MacKenzie Entwistle,CHI,CHI,R,R,67,5,6,11,-29,47,0.16,5,11,0,0,0,0,0,1,66,7.6,11.38,43.8
Isac Lundestrom,ANA,ANA,L,C,46,5,6,11,-1,2,0.24,4,9,0,1,1,1,0,0,38,13.2,14.33,44.0
Jon Merrill,MIN,MIN,L,D,65,4,7,11,0,30,0.17,4,11,0,0,0,0,0,0,42,9.5,12.78,0.0
Tony DeAngelo,CAR,CAR,R,D,31,3,8,11,-7,24,0.35,1,5,2,6,0,0,0,0,44,6.8,14.33,0.0
Henry Thrun,SJS,SJS,L,D,51,3,8,11,-22,16,0.22,1,7,2,4,0,0,0,0,48,6.3,20.0,0.0
Ian Cole,VAN,VAN,L,D,78,2,9,11,10,61,0.14,2,11,0,0,0,0,0,0,61,3.3,18.68,0.0
Matt Grzelcyk,BOS,BOS,L,D,63,2,9,11,13,37,0.17,2,11,0,0,0,0,0,0,59,3.4,17.6,0.0
Pierre-Olivier Joseph,PIT,PIT,L,D,52,2,9,11,-3,14,0.21,2,11,0,0,0,0,0,1,42,4.8,15.08,0.0
Vincent Desharnais,EDM,EDM,R,D,78,1,10,11,3,54,0.14,1,10,0,0,0,1,0,0,41,2.4,15.73,0.0
Kevin Bahl,NJD,NJD,L,D,82,1,10,11,1,82,0.13,1,11,0,0,0,0,0,1,63,1.6,17.4,0.0
John Beecher,BOS,BOS,L,C,52,7,3,10,-6,24,0.19,7,10,0,0,0,0,0,1,38,18.4,10.62,54.6
Zach Parise,COL,COL,L,L,30,5,5,10,-7,8,0.33,5,8,0,2,0,0,0,1,50,10.0,12.97,30.2
Sam Gagner,EDM,EDM,R,C,28,5,5,10,-2,10,0.36,5,9,0,1,0,0,0,2,48,10.4,10.22,62.5
Phillip Di Giuseppe,VAN,VAN,L,L,51,5,5,10,-1,36,0.2,5,10,0,0,0,0,0,1,52,9.6,12.1,29.4
Mark Kastelic,OTT,OTT,R,C,63,5,5,10,-5,63,0.16,5,10,0,0,0,0,0,0,60,8.3,7.72,54.4
Calvin de Haan,TBL,TBL,L,D,59,3,7,10,-9,22,0.17,3,10,0,0,0,0,0,0,56,5.4,16.63,0.0
Josh Brown,ARI,ARI,R,D,51,3,7,10,2,75,0.2,3,10,0,0,0,0,0,1,44,6.8,14.75,0.0
Gustav Lindstrom,MTL,ANA,R,D,46,3,7,10,12,24,0.22,3,10,0,0,0,0,0,0,29,10.3,15.4,0.0
Eric Robinson,CBJ,BUF,L,L,47,3,7,10,-3,19,0.21,3,10,0,0,0,0,0,1,61,4.9,11.33,50.0
Barrett Hayton,ARI,ARI,L,C,33,3,7,10,-13,26,0.3,2,8,1,2,0,0,0,0,66,4.6,17.02,49.8
Jayden Struble,MTL,MTL,L,D,56,3,7,10,-3,57,0.18,3,10,0,0,0,0,0,0,47,6.4,16.12,0.0
Jamie Drysdale,ANA,PHI,R,D,34,3,7,10,-20,8,0.29,2,7,1,2,0,1,0,0,55,5.5,19.62,0.0
Arber Xhekaj,MTL,MTL,L,D,44,3,7,10,6,81,0.23,3,10,0,0,0,0,0,0,61,4.9,15.93,0.0
Sam Malinski,COL,COL,R,D,23,3,7,10,3,6,0.43,2,8,1,2,0,0,0,1,31,9.7,14.23,0.0
Ben Hutton,VGK,VGK,L,D,41,2,8,10,12,17,0.24,2,9,0,1,0,0,0,0,67,3.0,16.25,0.0
Jakub Lauko,BOS,BOS,L,C,60,2,8,10,-3,32,0.17,2,10,0,0,0,0,0,0,43,4.7,9.82,43.8
Rafael Harvey-Pinard,MTL,MTL,L,L,45,2,8,10,-2,6,0.22,2,9,0,0,0,1,0,0,26,7.7,12.63,31.7
Andreas Englund,LAK,LAK,L,D,82,1,9,10,-3,81,0.12,1,10,0,0,0,0,0,0,41,2.4,13.22,0.0
Andrew Peeke,CBJ,BOS,R,D,38,1,9,10,-1,14,0.26,1,9,0,0,0,1,0,0,37,2.7,16.4,0.0
Conor Timmins,TOR,TOR,R,D,25,1,9,10,9,18,0.4,1,8,0,2,0,0,0,0,25,4.0,16.02,0.0
Ty Emberson,SJS,SJS,R,D,30,1,9,10,-4,6,0.33,1,9,0,1,0,0,0,0,31,3.2,18.55,0.0
Adam Boqvist,CBJ,CBJ,R,D,35,1,9,10,-8,0,0.29,1,6,0,4,0,0,0,0,45,2.2,18.28,0.0
David Jiricek,CBJ,CBJ,R,D,43,1,9,10,-4,22,0.23,1,10,0,0,0,0,0,1,38,2.6,14.6,0.0
Alex Goligoski,MIN,MIN,L,D,36,0,10,10,-8,18,0.28,0,8,0,2,0,0,0,0,32,0.0,14.82,0.0
Jacob MacDonald,SJS,SJS,L,D,34,7,2,9,-14,23,0.26,4,5,3,4,0,0,0,0,49,14.3,12.02,25.0
Tyler Motte,TBL,TBL,L,C,69,6,3,9,-8,28,0.13,4,7,0,0,2,2,0,2,83,7.2,12.45,50.3
Patrik Laine,CBJ,CBJ,R,L,18,6,3,9,-10,6,0.5,5,7,1,2,0,0,0,0,41,14.6,15.22,38.0
Alex Barré-Boulet,TBL,TBL,L,C,36,6,3,9,-9,10,0.25,4,7,2,2,0,0,0,0,46,13.0,11.18,50.0
Dylan Holloway,EDM,EDM,L,L,38,6,3,9,-1,29,0.24,5,8,1,1,0,0,0,0,56,10.7,11.37,57.5
Christian Dvorak,MTL,MTL,L,C,30,5,4,9,-5,4,0.3,4,8,1,1,0,0,0,0,35,14.3,15.53,57.8
Julien Gauthier,NYI,NYI,R,R,27,5,4,9,-5,8,0.33,5,9,0,0,0,0,0,1,32,15.6,10.17,37.5
Vinni Lettieri,MIN,MIN,R,C,46,5,4,9,-7,24,0.2,5,9,0,0,0,0,0,1,47,10.6,9.58,49.4
Josh Doan,ARI,ARI,R,R,11,5,4,9,6,0,0.82,5,9,0,0,0,0,0,1,23,21.7,12.32,41.7
Zack Bolduc,STL,STL,L,C,25,5,4,9,0,6,0.36,5,9,0,0,0,0,0,0,38,13.2,12.02,50.0
Colin Miller,NJD,WPG,R,D,46,4,5,9,8,26,0.2,4,8,0,1,0,0,0,0,69,5.8,15.7,0.0
Kyle MacLean,NYI,NYI,L,C,32,4,5,9,5,11,0.28,4,9,0,0,0,0,0,0,26,15.4,10.08,42.5
Joshua Roy,MTL,MTL,L,R,23,4,5,9,-2,0,0.39,4,9,0,0,0,0,0,0,34,11.8,12.13,28.6
Mark Giordano,TOR,TOR,L,D,46,3,6,9,10,49,0.2,3,9,0,0,0,0,0,1,59,5.1,16.62,0.0
Fredrik Olofsson,COL,COL,L,L,57,3,6,9,-5,8,0.16,3,9,0,0,0,0,0,1,45,6.7,9.75,39.7
Adam Ruzicka,CGY,ARI,L,C,42,3,6,9,-9,12,0.21,3,5,0,4,0,0,0,1,35,8.6,10.03,47.0
Declan Chisholm,WPG,MIN,L,D,31,3,6,9,-7,18,0.29,1,4,2,5,0,0,0,0,29,10.3,16.53,0.0
Joel Kiviranta,COL,COL,L,L,56,3,6,9,-1,12,0.16,3,9,0,0,0,0,0,0,48,6.3,9.83,28.6
Matt Coronato,CGY,CGY,R,R,34,3,6,9,-15,4,0.26,2,8,1,1,0,0,0,0,58,5.2,12.62,26.3
Andreas Athanasiou,CHI,CHI,L,C,28,2,7,9,-7,7,0.32,2,7,0,2,0,0,0,0,44,4.6,13.1,46.3
Kevin Labanc,SJS,SJS,R,R,46,2,7,9,-27,16,0.2,2,6,0,3,0,0,0,0,60,3.3,11.62,30.0
Sebastian Aho (D),NYI,NYI,L,D,58,2,7,9,-7,12,0.16,2,7,0,2,0,0,0,0,48,4.2,16.38,0.0
Ty Dellandrea,DAL,DAL,R,C,42,2,7,9,-10,23,0.21,2,9,0,0,0,0,0,0,53,3.8,12.67,41.5
Nikita Kucherov,TBL,TBL,L,R,81,44,100,144,8,22,1.78,31,91,13,53,0,0,1,6,306,14.4,21.67,50.0
Nathan MacKinnon,COL,COL,R,C,82,51,89,140,35,42,1.71,41,92,10,48,0,0,2,9,405,12.6,22.82,46.2
Connor McDavid,EDM,EDM,L,C,76,32,100,132,35,30,1.74,24,87,7,44,1,1,1,5,263,12.2,21.37,51.1
Artemi Panarin,NYR,NYR,R,L,82,49,71,120,18,24,1.46,38,75,11,44,0,1,1,5,302,16.2,20.12,10.0
David Pastrnak,BOS,BOS,R,R,82,47,63,110,21,47,1.34,35,75,12,35,0,0,0,5,382,12.3,19.93,33.3
Auston Matthews,TOR,TOR,L,C,81,69,38,107,31,20,1.32,51,77,18,29,0,1,3,8,369,18.7,20.97,53.5
Leon Draisaitl,EDM,EDM,L,C,81,41,65,106,26,76,1.31,20,65,21,39,0,2,2,7,217,18.9,20.7,56.9
Mikko Rantanen,COL,COL,L,R,80,42,62,104,19,50,1.3,28,64,14,40,0,0,0,9,271,15.5,22.9,53.8
J.T. Miller,VAN,VAN,L,C,81,37,66,103,32,58,1.27,25,61,10,40,2,2,2,9,194,19.1,19.48,56.3
William Nylander,TOR,TOR,R,R,82,40,58,98,1,24,1.2,26,59,11,35,3,4,2,7,316,12.7,19.92,47.1
Kirill Kaprizov,MIN,MIN,L,L,75,46,50,96,11,36,1.28,27,55,19,41,0,0,2,8,277,16.6,21.58,0.0
Sam Reinhart,FLA,FLA,R,C,82,57,37,94,29,31,1.15,25,55,27,34,5,5,3,11,233,24.5,20.3,44.2
Filip Forsberg,NSH,NSH,R,L,82,48,46,94,16,43,1.15,35,62,13,32,0,0,3,11,347,13.8,18.9,50.0
Sidney Crosby,PIT,PIT,L,C,82,42,52,94,7,40,1.15,32,71,10,23,0,0,0,3,278,15.1,20.08,58.2
Quinn Hughes,VAN,VAN,L,D,82,17,75,92,38,38,1.12,12,54,5,38,0,0,1,2,199,8.5,24.68,0.0
Brayden Point,TBL,TBL,R,C,81,46,44,90,-16,14,1.11,31,58,15,32,0,0,0,12,227,20.3,20.03,45.7
Cale Makar,COL,COL,R,D,77,21,69,90,15,16,1.17,13,47,7,39,1,4,0,1,231,9.1,24.77,0.0
Sebastian Aho (C),CAR,CAR,L,C,78,36,53,89,34,36,1.14,24,55,11,32,1,2,2,10,216,16.7,19.63,54.1
