player,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI_min,FOW%,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,team_start,team_end,shoots,pos,age,country,weight,height_in,pos_multi,handed,signing_team,extension,signing_date,signing_age,clause,length,signing,expiry,exp_year,aav
Dante Fabbro,56,3,10,13,9,24,0.23,3,13,0,0,0,0,0,0,65,4.6,16.35,0.0,2.42,65,141,96,0.16,4.26,9.24,6.29,438,474,48.03,895,955,48.38,654,660,49.77,46.74,43.71,51.67,NSH,NSH,R,D,25,Canada,189,72,False,Right,NSH,True,2023-03-03,25,None,1,RFA,restricted,2024,2500000
Erik Cernak,69,2,11,13,5,63,0.19,2,13,0,0,0,0,0,0,53,3.8,19.18,0.0,2.39,53,130,76,0.11,2.4,5.89,3.45,494,751,39.68,1043,1488,41.21,725,1039,41.1,56.06,79.98,41.21,TBL,TBL,R,D,26,Other,233,75,False,Right,TBL,True,2022-07-13,26,None,8,RFA,unrestricted,2031,5200000
Nick Seeler,71,1,12,13,9,78,0.18,1,9,0,0,0,4,0,0,100,1.0,16.95,0.0,3.54,100,225,150,0.18,4.99,11.22,7.48,664,581,53.33,1259,1393,47.47,926,878,51.33,58.11,58.47,49.85,PHI,PHI,L,D,30,United States,201,74,True,Left,PHI,True,2022-05-19,29,None,2,UFA,unrestricted,2024,775000
Colin Blackwell,44,8,4,12,-2,10,0.27,7,11,1,1,0,0,0,2,88,9.1,14.5,45.7,8.86,87,161,118,0.85,8.35,15.46,11.33,266,314,45.86,518,665,43.79,374,474,44.1,23.13,35.97,39.14,CHI,CHI,R,C,30,United States,190,69,True,Right,CHI,False,2022-07-13,29,None,2,UFA,unrestricted,2024,1200000
Carl Grundstrom,50,8,4,12,-2,12,0.24,6,10,1,1,1,1,0,1,95,8.4,10.93,20.0,10.24,95,177,134,1.12,10.42,19.42,14.7,305,240,55.96,618,521,54.26,437,364,54.56,28.2,25.58,52.44,LAK,LAK,L,R,25,Sweden,201,72,True,Left,LAK,True,2022-07-11,24,None,2,RFA,restricted,2024,1300000
Juuso Parssinen,44,8,4,12,-6,12,0.27,6,9,2,3,0,0,0,0,54,14.8,14.6,37.5,9.64,54,95,71,0.9,5.04,8.86,6.63,307,305,50.16,626,627,49.96,453,457,49.78,36.53,29.71,55.15,NSH,NSH,L,C,22,Finland,203,74,False,Left,NSH,False,2021-05-28,20,None,3,ELC,restricted,2024,925000
Marc-Edouard Vlasic,57,6,6,12,-27,26,0.21,6,12,0,0,0,0,0,1,72,8.3,16.28,0.0,2.95,70,153,105,0.19,4.62,10.09,6.93,350,577,37.76,740,1182,38.5,518,811,38.97,32.85,60.26,35.28,SJS,SJS,L,D,36,Canada,205,73,True,Left,SJS,True,2017-07-01,31,M-NTC,8,UFA,unrestricted,2026,7000000
A.J. Greer,59,6,6,12,-7,35,0.2,5,11,1,1,0,0,0,0,57,10.5,8.83,50.0,6.68,57,111,79,0.77,6.56,12.78,9.1,218,261,45.51,474,535,46.98,329,362,47.61,20.73,23.64,46.72,CGY,CGY,L,L,26,Canada,210,75,True,Left,BOS,False,2022-07-13,25,None,2,UFA,unrestricted,2024,762500
Noah Gregor,63,6,6,12,-7,17,0.19,4,10,1,1,1,1,0,1,110,5.5,11.4,58.3,10.56,109,193,155,0.88,9.11,16.13,12.95,296,389,43.21,593,799,42.6,427,569,42.87,26.96,41.57,39.34,TOR,TOR,L,C,24,Canada,190,72,True,Left,TOR,False,2023-10-10,24,None,1,UFA,unrestricted,2024,775000
Ryan Carpenter,62,5,7,12,-16,6,0.19,5,12,0,0,0,0,0,0,58,8.6,11.1,47.8,7.22,58,101,87,0.64,5.13,8.94,7.7,273,387,41.36,574,768,42.77,414,551,42.9,24.75,44.47,35.76,SJS,SJS,R,C,32,United States,200,72,True,Right,SJS,False,2023-07-01,32,None,1,UFA,unrestricted,2024,775000
Derek Ryan,70,5,7,12,-3,8,0.17,3,9,0,0,2,3,0,0,52,9.6,10.2,55.8,6.3,48,83,67,0.54,4.11,7.11,5.74,272,356,43.31,553,716,43.58,379,505,42.87,25.4,38.86,39.53,EDM,EDM,R,C,36,United States,185,70,True,Right,EDM,True,2023-06-13,36,None,2,UFA,unrestricted,2025,900000
Nathan Bastian,54,5,7,12,-10,32,0.22,5,12,0,0,0,0,0,1,57,8.8,10.17,51.9,9.35,57,99,80,1.02,6.23,10.82,8.75,242,274,46.9,497,518,48.97,323,382,45.82,23.26,28.34,45.08,NJD,NJD,R,R,25,Canada,205,76,False,Right,NJD,False,2023-07-01,25,None,2,UFA,unrestricted,2025,1350000
Mathieu Olivier,54,5,7,12,-4,70,0.22,4,11,0,0,1,1,0,1,55,9.1,11.28,25.0,6.65,54,93,79,0.65,5.32,9.16,7.78,232,342,40.42,529,675,43.94,365,475,43.45,22.95,31.73,41.97,CBJ,CBJ,R,R,26,United States,210,74,False,Right,CBJ,True,2023-06-21,26,None,2,RFA,unrestricted,2025,1100000
Barclay Goodrow,80,4,8,12,-13,78,0.15,3,11,0,0,1,1,0,1,61,6.6,12.57,54.0,8.07,61,121,89,0.48,3.64,7.22,5.31,329,539,37.9,669,1226,35.29,481,843,36.33,35.43,58.49,37.72,NYR,NYR,L,C,30,Canada,215,74,True,Left,NYR,True,2021-07-22,28,M-NTC,6,UFA,unrestricted,2027,3641667
Mathew Dumba,76,4,8,12,-18,88,0.16,4,12,0,0,0,0,0,0,86,4.7,19.73,0.0,5.03,85,201,133,0.2,3.4,8.03,5.32,574,900,38.94,1153,1772,39.42,836,1311,38.94,58.71,98.58,37.33,ARI,TBL,R,D,28,Canada,180,72,False,Right,ARI,False,2023-08-06,28,None,1,UFA,unrestricted,2024,3900000
Chris Tierney,52,4,8,12,3,21,0.23,4,12,0,0,0,0,0,0,26,15.4,9.03,57.2,3.22,26,42,32,0.41,3.32,5.37,4.09,166,222,42.78,341,451,43.06,242,334,42.01,17.12,21.35,44.5,NJD,NJD,L,C,29,Canada,195,73,False,Left,NJD,False,2023-07-14,28,None,1,UFA,unrestricted,2024,775000
Connor Brown,71,4,8,12,-8,10,0.17,4,12,0,0,0,0,0,0,108,3.7,12.8,41.5,11.44,109,193,148,0.77,7.35,13.02,9.98,369,426,46.42,766,849,47.43,531,612,46.46,38.75,46.1,45.67,EDM,EDM,R,R,29,Canada,186,72,True,Right,EDM,False,2023-07-01,29,None,1,UFA,unrestricted,2024,4000000
Mattias Janmark,71,4,8,12,0,46,0.17,4,12,0,0,0,0,0,0,67,6.0,11.9,42.7,9.19,67,109,90,0.67,4.86,7.9,6.52,339,408,45.38,669,794,45.73,484,574,45.75,35.29,41.42,46.01,EDM,EDM,L,C,30,Sweden,195,73,True,Left,EDM,True,2023-06-30,30,None,1,UFA,unrestricted,2024,1000000
Michael Pezzetta,61,3,9,12,4,59,0.2,3,12,0,0,0,0,0,1,42,7.1,7.8,42.9,3.44,42,94,61,0.43,5.3,11.86,7.7,162,227,41.65,360,503,41.71,239,343,41.07,11.96,22.03,35.19,MTL,MTL,L,L,25,Canada,218,73,True,Left,MTL,True,2023-06-02,25,None,2,RFA,unrestricted,2025,812500
Jani Hakanpää,64,2,10,12,10,33,0.19,2,12,0,0,0,0,0,1,56,3.6,18.65,0.0,1.58,56,146,85,0.08,2.82,7.34,4.26,491,728,40.28,965,1433,40.24,695,1023,40.45,48.78,71.81,40.45,DAL,DAL,R,D,31,Finland,218,77,False,Right,DAL,False,2021-07-29,29,None,3,UFA,unrestricted,2024,1500000
Nicolas Hague,73,2,10,12,-5,43,0.16,2,12,0,0,0,0,0,1,105,1.9,18.55,0.0,3.81,103,236,142,0.17,4.62,10.59,6.37,585,740,44.15,1140,1498,43.21,820,1061,43.59,55.49,67.59,45.08,VGK,VGK,L,D,24,Canada,221,78,False,Left,VGK,False,2022-10-10,23,None,3,RFA,restricted,2025,2294150
Luke Glendening,81,10,1,11,-2,39,0.14,9,10,0,0,1,1,0,1,57,17.5,11.62,56.0,6.97,57,111,83,0.44,3.63,7.07,5.29,260,519,33.38,563,1062,34.65,382,740,34.04,22.44,56.16,28.55,TBL,TBL,R,C,34,United States,191,71,True,Right,TBL,False,2023-07-01,34,None,2,UFA,unrestricted,2025,800000
Thomas Bordeleau,27,6,5,11,-18,18,0.41,2,4,4,7,0,0,0,1,48,12.5,15.02,52.8,5.53,45,83,70,0.85,6.93,12.78,10.78,194,190,50.52,418,358,53.87,311,260,54.47,21.89,20.64,51.47,SJS,SJS,L,C,21,United States,175,70,True,Left,SJS,False,2022-04-16,19,None,3,ELC,restricted,2024,925000
MacKenzie Entwistle,67,5,6,11,-29,47,0.16,5,11,0,0,0,0,0,1,66,7.6,11.38,43.8,7.52,65,126,95,0.6,5.19,10.05,7.58,335,468,41.72,642,851,43.0,448,626,41.71,25.85,45.05,36.46,CHI,CHI,R,R,23,Canada,181,75,True,Right,CHI,True,2021-08-18,22,None,2,RFA,unrestricted,2024,800000
Isac Lundestrom,46,5,6,11,-1,2,0.24,4,9,0,1,1,1,0,0,38,13.2,14.33,44.0,7.79,37,74,61,0.72,3.44,6.88,5.67,222,338,39.64,473,713,39.88,338,490,40.82,26.38,36.11,42.21,ANA,ANA,L,C,23,Sweden,191,72,True,Left,ANA,False,2022-07-25,22,None,2,RFA,restricted,2024,1800000
Jon Merrill,65,4,7,11,0,30,0.17,4,11,0,0,0,0,0,0,42,9.5,12.78,0.0,2.38,42,92,61,0.17,3.07,6.72,4.46,344,385,47.19,727,777,48.34,518,540,48.96,28.26,32.4,46.59,MIN,MIN,L,D,31,United States,195,75,False,Left,MIN,True,2022-01-11,30,None,3,UFA,unrestricted,2025,1200000
Tony DeAngelo,31,3,8,11,-7,24,0.35,1,5,2,6,0,0,0,0,44,6.8,14.33,0.0,1.85,44,94,59,0.25,5.94,12.69,7.97,275,199,58.02,569,357,61.45,403,269,59.97,27.33,17.37,61.14,CAR,CAR,R,D,27,United States,180,71,False,Right,CAR,False,2023-07-24,27,None,1,UFA,unrestricted,2024,1675000
Henry Thrun,51,3,8,11,-22,16,0.22,1,7,2,4,0,0,0,0,48,6.3,20.0,0.0,2.18,48,114,72,0.13,2.88,6.84,4.32,367,575,38.96,796,1166,40.57,547,851,39.13,37.6,62.08,37.72,SJS,SJS,L,D,22,United States,190,74,False,Left,SJS,False,2023-03-25,21,None,2,ELC,restricted,2024,1031250
Ian Cole,78,2,9,11,10,61,0.14,2,11,0,0,0,0,0,0,61,3.3,18.68,0.0,1.72,61,161,98,0.07,2.5,6.63,4.03,567,762,42.66,1133,1567,41.96,851,1077,44.14,62.8,79.03,44.28,VAN,VAN,L,D,34,United States,225,73,True,Left,VAN,False,2023-07-01,34,None,1,UFA,unrestricted,2024,3000000
Matt Grzelcyk,63,2,9,11,13,37,0.17,2,11,0,0,0,0,0,0,59,3.4,17.6,0.0,2.54,60,152,99,0.14,3.25,8.23,5.36,490,605,44.75,970,1222,44.25,716,896,44.42,48.53,59.5,44.92,BOS,BOS,L,D,29,United States,174,69,False,Left,BOS,False,2020-10-17,26,None,4,RFA,unrestricted,2024,3687500
Pierre-Olivier Joseph,52,2,9,11,-3,14,0.21,2,11,0,0,0,0,0,1,42,4.8,15.08,0.0,1.21,42,112,63,0.09,3.21,8.57,4.82,373,414,47.4,776,820,48.62,554,605,47.8,35.1,39.85,46.83,PIT,PIT,L,D,24,Canada,185,74,False,Left,PIT,True,2022-07-12,22,None,2,RFA,unrestricted,2024,825000
Vincent Desharnais,78,1,10,11,3,54,0.14,1,10,0,0,0,1,0,0,41,2.4,15.73,0.0,1.23,40,109,60,0.06,1.99,5.41,2.98,506,551,47.87,1009,1128,47.22,711,785,47.53,50.63,55.82,47.56,EDM,EDM,R,D,27,Canada,209,78,False,Right,EDM,False,2022-03-02,26,None,2,UFA,unrestricted,2024,762500
Kevin Bahl,82,1,10,11,1,82,0.13,1,11,0,0,0,0,0,1,63,1.6,17.4,0.0,2.37,63,166,97,0.1,2.65,6.98,4.08,577,750,43.48,1168,1481,44.09,864,1060,44.91,61.12,74.4,45.1,NJD,NJD,L,D,23,Canada,216,78,False,Left,NJD,False,2023-07-31,23,None,2,RFA,restricted,2025,1050000
John Beecher,52,7,3,10,-6,24,0.19,7,10,0,0,0,0,0,1,38,18.4,10.62,54.6,4.98,38,57,48,0.54,4.13,6.19,5.21,154,316,32.77,309,666,31.69,227,458,33.14,14.21,30.89,31.51,BOS,BOS,L,C,22,United States,210,75,False,Left,BOS,False,2022-05-16,21,None,3,ELC,restricted,2025,925000
Zach Parise,30,5,5,10,-7,8,0.33,5,8,0,2,0,0,0,1,50,10.0,12.97,30.2,5.71,47,75,59,0.91,7.48,11.94,9.39,199,210,48.66,371,421,46.84,255,301,45.86,18.11,22.15,44.98,COL,COL,L,L,38,United States,195,71,False,Left,COL,False,2024-01-26,38,None,1,UFA,unrestricted,2024,825000
Sam Gagner,28,5,5,10,-2,10,0.36,5,9,0,1,0,0,0,2,48,10.4,10.22,62.5,4.69,48,74,60,1.02,10.42,16.05,13.02,165,105,61.11,316,231,57.77,218,163,57.22,14.61,9.03,61.78,EDM,EDM,R,C,33,Canada,200,71,True,Right,EDM,False,2023-10-31,33,None,1,UFA,unrestricted,2024,775000
Phillip Di Giuseppe,51,5,5,10,-1,36,0.2,5,10,0,0,0,0,0,1,52,9.6,12.1,29.4,5.99,51,93,75,0.6,5.08,9.26,7.47,225,343,39.61,481,665,41.97,337,499,40.31,21.49,34.1,38.65,VAN,VAN,L,L,29,Canada,192,72,False,Left,VAN,True,2023-03-12,29,None,2,UFA,unrestricted,2025,775000
Mark Kastelic,63,5,5,10,-5,63,0.16,5,10,0,0,0,0,0,0,60,8.3,7.72,54.4,6.56,61,90,78,0.81,7.52,11.1,9.61,205,223,47.9,448,485,48.02,302,320,48.55,16.97,18.73,47.52,OTT,OTT,R,C,24,United States,223,76,True,Right,OTT,True,2022-10-27,24,None,2,RFA,restricted,2025,835000
Calvin de Haan,59,3,7,10,-9,22,0.17,3,10,0,0,0,0,0,0,56,5.4,16.63,0.0,2.11,56,163,92,0.13,3.43,9.97,5.63,392,469,45.53,844,965,46.66,573,661,46.43,42.57,49.58,46.2,TBL,TBL,L,D,32,Canada,195,73,True,Left,TBL,False,2023-07-02,32,None,1,UFA,unrestricted,2024,775000
Josh Brown,51,3,7,10,2,75,0.2,3,10,0,0,0,0,0,1,44,6.8,14.75,0.0,1.94,44,83,57,0.15,3.51,6.62,4.55,304,495,38.04,573,1002,36.38,425,728,36.86,32.11,53.81,37.36,ARI,ARI,R,D,29,Canada,217,77,False,Right,ARI,False,2022-07-13,28,None,2,UFA,unrestricted,2024,1275000
Gustav Lindstrom,46,3,7,10,12,24,0.22,3,10,0,0,0,0,0,0,29,10.3,15.4,0.0,1.54,29,72,45,0.13,2.52,6.25,3.9,260,342,43.19,530,699,43.12,382,500,43.31,24.28,32.49,42.77,MTL,ANA,R,D,24,Sweden,194,74,False,Right,DET,True,2023-07-01,24,None,1,UFA,unrestricted,2024,950000
Eric Robinson,47,3,7,10,-3,19,0.21,3,10,0,0,0,0,0,1,61,4.9,11.33,50.0,9.0,61,129,92,1.01,6.87,14.53,10.36,251,278,47.45,537,570,48.51,364,427,46.02,22.88,28.12,44.86,CBJ,BUF,L,L,28,United States,197,74,False,Left,CBJ,True,2021-07-28,27,None,2,UFA,unrestricted,2024,1600000
Barrett Hayton,33,3,7,10,-13,26,0.3,2,8,1,2,0,0,0,0,66,4.6,17.02,49.8,11.26,66,119,93,1.2,7.05,12.72,9.94,303,264,53.44,631,499,55.84,450,379,54.28,38.85,31.68,55.08,ARI,ARI,L,C,23,Canada,190,73,True,Left,ARI,False,2022-09-20,22,None,2,RFA,restricted,2024,1775000
Jayden Struble,56,3,7,10,-3,57,0.18,3,10,0,0,0,0,0,0,47,6.4,16.12,0.0,2.13,47,126,69,0.14,3.13,8.38,4.59,376,487,43.57,795,982,44.74,556,722,43.51,34.81,50.22,40.94,MTL,MTL,L,D,21,United States,205,72,False,Left,MTL,False,2023-03-15,21,None,2,ELC,restricted,2025,925000
Jamie Drysdale,34,3,7,10,-20,8,0.29,2,7,1,2,0,1,0,0,55,5.5,19.62,0.0,2.15,55,133,83,0.19,4.95,11.96,7.46,378,293,56.33,773,648,54.4,549,451,54.9,36.49,34.51,51.39,ANA,PHI,R,D,21,Canada,187,71,False,Right,ANA,False,2023-10-05,21,None,3,RFA,restricted,2026,2300000
Arber Xhekaj,44,3,7,10,6,81,0.23,3,10,0,0,0,0,0,0,61,4.9,15.93,0.0,1.86,61,156,90,0.16,5.22,13.36,7.71,342,353,49.21,694,704,49.64,488,505,49.14,33.02,35.08,48.49,MTL,MTL,L,D,22,Canada,238,76,True,Left,MTL,False,2021-10-04,20,None,3,ELC,restricted,2024,828333
Sam Malinski,23,3,7,10,3,6,0.43,2,8,1,2,0,0,0,1,31,9.7,14.23,0.0,1.12,31,74,49,0.21,5.68,13.57,8.99,157,147,51.64,318,325,49.46,228,225,50.33,14.09,14.76,48.84,COL,COL,R,D,24,United States,190,71,False,Right,COL,False,2023-03-30,24,None,2,UFA,restricted,2025,850000
Ben Hutton,41,2,8,10,12,17,0.24,2,9,0,1,0,0,0,0,67,3.0,16.25,0.0,2.82,67,133,83,0.26,6.22,12.34,7.7,352,267,56.87,660,570,53.66,469,403,53.78,32.1,23.97,57.25,VGK,VGK,L,D,30,Canada,206,74,False,Left,VGK,True,2022-03-05,29,None,2,UFA,unrestricted,2024,850000
Jakub Lauko,60,2,8,10,-3,32,0.17,2,10,0,0,0,0,0,0,43,4.7,9.82,43.8,6.24,43,97,68,0.64,4.38,9.88,6.92,195,257,43.14,408,564,41.98,294,374,44.01,18.57,21.87,45.93,BOS,BOS,L,C,23,Other,179,72,True,Left,BOS,False,2023-07-05,23,None,2,RFA,restricted,2025,787500
Rafael Harvey-Pinard,45,2,8,10,-2,6,0.22,2,9,0,0,0,1,0,0,26,7.7,12.63,31.7,5.46,26,60,46,0.57,2.74,6.33,4.84,193,326,37.19,415,679,37.93,281,475,37.17,18.41,35.61,34.07,MTL,MTL,L,L,24,Canada,184,69,True,Left,MTL,False,2023-07-03,24,None,2,RFA,restricted,2025,1100000
Andreas Englund,82,1,9,10,-3,81,0.12,1,10,0,0,0,0,0,0,41,2.4,13.22,0.0,1.39,40,109,55,0.08,2.24,6.1,3.08,506,546,48.1,1010,1059,48.82,729,771,48.6,44.67,51.36,46.52,LAK,LAK,L,D,27,Sweden,189,75,False,Left,LAK,False,2023-07-01,27,None,2,UFA,unrestricted,2025,1000000
Andrew Peeke,38,1,9,10,-1,14,0.26,1,9,0,0,0,1,0,0,37,2.7,16.4,0.0,0.93,37,99,62,0.09,3.56,9.52,5.97,250,325,43.48,514,721,41.62,359,494,42.09,21.81,38.14,36.38,CBJ,BOS,R,D,25,United States,194,75,False,Right,CBJ,True,2022-09-28,25,None,3,RFA,unrestricted,2026,2750000
Conor Timmins,25,1,9,10,9,18,0.4,1,8,0,2,0,0,0,0,25,4.0,16.02,0.0,1.35,25,66,38,0.2,3.75,9.89,5.69,242,158,60.5,461,326,58.58,341,226,60.14,26.77,14.72,64.52,TOR,TOR,R,D,24,Canada,185,74,False,Right,TOR,True,2023-02-09,24,None,2,RFA,restricted,2025,1100000
Ty Emberson,30,1,9,10,-4,6,0.33,1,9,0,1,0,0,0,0,31,3.2,18.55,0.0,0.96,31,74,45,0.1,3.34,7.98,4.84,231,275,45.65,457,627,42.16,323,433,42.72,18.98,26.88,41.39,SJS,SJS,R,D,23,United States,195,73,False,Right,NYR,False,2023-07-13,23,None,1,RFA,restricted,2024,775000
Adam Boqvist,35,1,9,10,-8,0,0.29,1,6,0,4,0,0,0,0,45,2.2,18.28,0.0,3.49,45,121,73,0.33,4.22,11.35,6.84,371,352,51.31,770,656,54.0,543,491,52.51,39.47,37.15,51.51,CBJ,CBJ,R,D,22,Sweden,179,71,False,Right,CBJ,True,2022-07-06,21,None,3,RFA,restricted,2025,2600000
David Jiricek,43,1,9,10,-4,22,0.23,1,10,0,0,0,0,0,1,38,2.6,14.6,0.0,1.71,38,94,60,0.16,3.63,8.99,5.74,284,325,46.63,581,634,47.82,411,460,47.19,24.23,30.95,43.91,CBJ,CBJ,R,D,19,Other,189,75,False,Right,CBJ,False,2022-07-13,18,None,3,ELC,restricted,2026,1918333
Alex Goligoski,36,0,10,10,-8,18,0.28,0,8,0,2,0,0,0,0,32,0.0,14.82,0.0,2.08,32,79,50,0.24,3.69,9.11,5.77,254,252,50.2,500,489,50.56,352,356,49.72,21.54,20.5,51.24,MIN,MIN,L,D,37,United States,185,71,True,Left,MIN,True,2022-03-30,36,NMC,2,UFA,unrestricted,2024,2000000
Jacob MacDonald,34,7,2,9,-14,23,0.26,4,5,3,4,0,0,0,0,49,14.3,12.02,25.0,4.87,49,103,73,0.71,7.19,15.12,10.72,188,197,48.83,403,384,51.21,277,292,48.68,17.79,20.39,46.6,SJS,SJS,L,D,30,United States,204,72,True,Left,COL,True,2022-07-10,29,None,2,UFA,unrestricted,2024,762500
Tyler Motte,69,6,3,9,-8,28,0.13,4,7,0,0,2,2,0,2,83,7.2,12.45,50.3,7.65,83,177,123,0.53,5.79,12.35,8.58,289,412,41.23,631,862,42.26,437,588,42.63,25.03,43.94,36.29,TBL,TBL,L,C,28,United States,192,70,True,Left,TBL,False,2023-09-09,28,None,1,UFA,unrestricted,2024,800000
Patrik Laine,18,6,3,9,-10,6,0.5,5,7,1,2,0,0,0,0,41,14.6,15.22,38.0,3.91,41,89,66,0.86,8.98,19.48,14.46,145,142,50.52,320,277,53.6,236,198,54.38,17.62,18.23,49.15,CBJ,CBJ,R,L,25,Finland,206,77,True,Right,CBJ,False,2022-07-22,24,M-NTC,4,RFA,unrestricted,2026,8700000
Alex Barré-Boulet,36,6,3,9,-9,10,0.25,4,7,2,2,0,0,0,0,46,13.0,11.18,50.0,6.03,46,81,70,0.9,6.85,12.07,10.43,200,196,50.51,419,374,52.84,295,277,51.57,21.14,19.13,52.5,TBL,TBL,L,C,26,Canada,168,69,True,Left,TBL,False,2021-07-30,24,None,3,RFA,unrestricted,2024,758333
Dylan Holloway,38,6,3,9,-1,29,0.24,5,8,1,1,0,0,0,0,56,10.7,11.37,57.5,5.72,53,106,75,0.83,7.66,15.31,10.83,213,163,56.65,460,311,59.66,306,237,56.35,20.07,15.26,56.82,EDM,EDM,L,L,21,Canada,203,73,True,Left,EDM,False,2021-04-16,19,None,3,ELC,restricted,2024,1441667
Christian Dvorak,30,5,4,9,-5,4,0.3,4,8,1,1,0,0,0,0,35,14.3,15.53,57.8,4.46,35,63,44,0.56,4.51,8.11,5.67,182,276,39.74,376,565,39.96,261,399,39.54,18.97,31.38,37.68,MTL,MTL,L,C,27,United States,200,73,False,Left,ARI,True,2018-08-09,23,M-NTC,6,RFA,unrestricted,2025,4450000
Julien Gauthier,27,5,4,9,-5,8,0.33,5,9,0,0,0,0,0,1,32,15.6,10.17,37.5,3.3,32,58,43,0.72,6.99,12.67,9.4,92,155,37.25,193,329,36.97,131,223,37.01,7.94,13.15,37.65,NYI,NYI,R,R,25,Canada,227,76,False,Right,NYI,False,2023-07-05,25,None,2,UFA,unrestricted,2025,787500
Vinni Lettieri,46,5,4,9,-7,24,0.2,5,9,0,0,0,0,0,1,47,10.6,9.58,49.4,5.11,47,89,72,0.7,6.4,12.11,9.8,174,216,44.62,376,456,45.19,279,318,46.73,16.27,18.07,47.37,MIN,MIN,R,C,28,United States,191,71,True,Right,MIN,False,2023-07-01,28,None,2,UFA,unrestricted,2025,775000
Josh Doan,11,5,4,9,6,0,0.82,5,9,0,0,0,0,0,1,23,21.7,12.32,41.7,4.28,23,37,31,1.9,10.19,16.39,13.74,73,63,53.68,141,132,51.65,104,100,50.98,9.61,5.53,63.5,ARI,ARI,R,R,21,United States,183,73,False,Right,ARI,False,2023-03-16,21,None,3,ELC,restricted,2026,925000
Zack Bolduc,25,5,4,9,0,6,0.36,5,9,0,0,0,0,0,0,38,13.2,12.02,50.0,2.93,38,64,52,0.59,7.59,12.78,10.39,129,143,47.43,231,281,45.12,183,212,46.33,11.04,12.56,46.78,STL,STL,L,C,20,Canada,175,73,False,Left,STL,False,2021-08-24,18,None,3,ELC,restricted,2026,1275833
Colin Miller,46,4,5,9,8,26,0.2,4,8,0,1,0,0,0,0,69,5.8,15.7,0.0,1.91,68,170,97,0.16,5.77,14.42,8.23,372,353,51.31,769,665,53.63,541,496,52.17,35.29,36.64,49.06,NJD,WPG,R,D,30,Canada,193,73,False,Right,DAL,False,2022-07-13,29,None,2,UFA,unrestricted,2024,1850000
Kyle MacLean,32,4,5,9,5,11,0.28,4,9,0,0,0,0,0,0,26,15.4,10.08,42.5,2.87,26,43,38,0.53,4.83,7.98,7.05,116,139,45.49,230,313,42.36,171,206,45.36,11.5,11.38,50.26,NYI,NYI,L,C,24,United States,181,72,True,Left,NYI,False,2023-05-19,24,None,1,ELC,restricted,2024,800000
Joshua Roy,23,4,5,9,-2,0,0.39,4,9,0,0,0,0,0,0,34,11.8,12.13,28.6,4.51,34,77,62,0.97,7.31,16.55,13.32,136,134,50.37,277,269,50.73,205,187,52.3,13.07,11.84,52.47,MTL,MTL,L,R,19,Canada,190,72,True,Left,MTL,False,2022-03-30,18,None,3,ELC,restricted,2026,881667
Mark Giordano,46,3,6,9,10,49,0.2,3,9,0,0,0,0,0,1,59,5.1,16.62,0.0,2.63,59,147,83,0.21,4.63,11.54,6.52,389,395,49.62,785,833,48.52,547,591,48.07,38.78,43.14,47.34,TOR,TOR,L,D,39,Canada,200,73,False,Left,TOR,True,2022-05-22,38,None,2,UFA,unrestricted,2024,800000
Fredrik Olofsson,57,3,6,9,-5,8,0.16,3,9,0,0,0,0,0,1,45,6.7,9.75,39.7,5.16,45,69,53,0.56,4.84,7.44,5.72,191,277,40.81,389,573,40.44,264,405,39.46,17.76,31.04,36.39,COL,COL,L,L,27,Sweden,196,74,True,Left,COL,True,2023-06-15,27,None,1,UFA,unrestricted,2024,775000
Adam Ruzicka,42,3,6,9,-9,12,0.21,3,5,0,4,0,0,0,1,35,8.6,10.03,47.0,3.37,35,74,52,0.48,4.99,10.54,7.41,198,192,50.77,423,399,51.46,288,273,51.34,18.61,17.93,50.93,CGY,ARI,L,C,24,Other,220,76,True,Left,CGY,False,2022-09-21,23,None,2,RFA,restricted,2024,762500
Declan Chisholm,31,3,6,9,-7,18,0.29,1,4,2,5,0,0,0,0,29,10.3,16.53,0.0,2.08,28,69,44,0.25,3.36,8.27,5.28,253,191,56.98,521,414,55.72,386,288,57.27,30.04,17.62,63.03,WPG,MIN,L,D,23,Canada,185,73,True,Left,WPG,False,2023-09-13,23,None,1,RFA,restricted,2024,775000
Joel Kiviranta,56,3,6,9,-1,12,0.16,3,9,0,0,0,0,0,0,48,6.3,9.83,28.6,5.74,48,78,60,0.63,5.23,8.49,6.53,222,274,44.76,432,554,43.81,303,393,43.53,19.71,28.78,40.65,COL,COL,L,L,27,Finland,175,70,True,Left,COL,False,2023-11-12,27,None,1,UFA,unrestricted,2024,775000
Matt Coronato,34,3,6,9,-15,4,0.26,2,8,1,1,0,0,0,0,58,5.2,12.62,26.3,5.76,57,110,88,0.83,8.19,15.81,12.65,221,202,52.25,436,390,52.78,316,274,53.56,19.5,22.47,46.46,CGY,CGY,R,R,20,United States,183,70,False,Right,CGY,False,2023-03-26,19,None,3,ELC,restricted,2025,1491667
